Arpt_ICAO	Procedure Type	Procedure Ident
3R9	SIAP	VDM-A
3R9	SID	AEROZ1
3R9	SID	BNDIA2
3R9	SID	ELOEL2
3R9	SID	ILEXY2
3R9	SID	MUCKY2
3R9	SID	SAYBR2
3R9	STAR	BITER8
3R9	STAR	BLEWE4
3R9	STAR	KALLA3
3R9	STAR	MSTLO3
3R9	STAR	POTRR1
3S8	SIAP	R13
3S8	SIAP	RNV-A
3T3	SIAP	R08
3T3	SIAP	R26
3T5	SIAP	R16
3T5	SIAP	R34
3TR	SIAP	R15
3TR	SIAP	R33
3TR	SIAP	VOR-A
3Y2	SIAP	R17
3Y2	SIAP	R35
3Y3	SIAP	R14
3Y3	SIAP	R32
3Y3	SIAP	VDM-A
40G	SIAP	P01
40G	SIAP	P19
40J	SIAP	R18
40J	SIAP	R36
41F	SIAP	R17
41F	SIAP	R35
41U	SIAP	R03
41U	SID	WUXOT1
41U	SID	YMONT1
42A	SIAP	R03
42A	SIAP	R21
42J	SIAP	R05
43A	SIAP	R03
43A	SIAP	R21
43B	SIAP	RNV-A
44C	SIAP	VOR-A
44N	SIAP	R17
44N	SIAP	R35
45R	SIAP	R13
46D	SIAP	R31
47K	SIAP	R17
47K	SIAP	R35
47N	SIAP	R07
47N	SIAP	R25
47N	SID	CENTR1
47N	STAR	JAIKE3
47N	STAR	MAZIE2
47V	SIAP	R12
47V	SIAP	R30
48A	SIAP	D05
48A	SIAP	R11
48A	SIAP	R29
48D	SIAP	R04
48D	SIAP	VOR-A
48I	SIAP	R20
48Y	SIAP	R15
48Y	SIAP	R33
49A	SIAP	R03
49A	SIAP	R21
49B	SIAP	R11
49B	SIAP	R29
4A4	SIAP	R10
4A4	SIAP	R28
4A4	SIAP	VOR-A
4A5	SIAP	R05
4A5	SIAP	R23
4A6	SIAP	R04
4A6	SIAP	R22
4A9	SIAP	R04
4A9	SIAP	R22-Y
4A9	SIAP	R22-Z
4B0	SIAP	R01
4B0	SIAP	R19
4B6	SIAP	R02
4B6	SIAP	R20
4B8	SIAP	R02
4C8	SIAP	R13
4C8	SIAP	R31
4C8	SIAP	VOR-A
4D0	SIAP	R09
4D8	SIAP	RNV-B
4D8	SIAP	VOR-A
4D9	SIAP	R17
4D9	SIAP	R35
4E7	SIAP	R31
4F2	SIAP	R17
4F2	SIAP	R35
4G1	SIAP	RNV-B
4G4	SIAP	R10
4G4	SIAP	R28
4G4	SIAP	VOR-C
4G5	SIAP	D25
4G5	SIAP	R25
4G7	SIAP	R23
4G7	SIAP	VOR-A
4I3	SIAP	R10
4I3	SIAP	R28
4I3	SIAP	VOR-A
4I9	SIAP	VOR-A
4J1	SIAP	R01-Y
4J1	SIAP	R01-Z
4J1	SIAP	R19-Y
4J1	SIAP	R19-Z
4J2	SIAP	R10
4J2	SIAP	R28
4J5	SIAP	R10
4J5	SIAP	R28
4K6	SIAP	R36
4M1	SIAP	R07
4M1	SIAP	R25
4M3	SIAP	R09
4M3	SIAP	R27
4M7	SIAP	R07
4M7	SIAP	R25
4M9	SIAP	R18
4M9	SIAP	R36
4M9	SIAP	VOR-A
