Arpt_ICAO	Procedure Type	Procedure Ident
KDAL	SID	WORTH1
KDAL	SID	WYLIE9
KDAL	STAR	BACHR4
KDAL	STAR	CRIKT1
KDAL	STAR	DRYYE2
KDAL	STAR	FINGR5
KDAL	STAR	GREGS8
KDAL	STAR	HIBIL3
KDAL	STAR	JFRYE3
KDAL	STAR	KNEAD7
KDAL	STAR	MNNDO4
KDAL	STAR	NANDR3
KDAL	STAR	REDDN4
KDAL	STAR	SWVAY4
KDAL	STAR	YEAGR3
KDAN	SIAP	I02
KDAN	SIAP	L02
KDAN	SIAP	R02
KDAN	SIAP	R20
KDAN	SIAP	R31
KDAW	SIAP	N33
KDAW	SIAP	R33
KDAW	SIAP	VDM-A
KDAY	SIAP	H06LY
KDAY	SIAP	H24RY
KDAY	SIAP	I06L
KDAY	SIAP	I18
KDAY	SIAP	I24L
KDAY	SIAP	I24R
KDAY	SIAP	L06L
KDAY	SIAP	L18
KDAY	SIAP	L24L
KDAY	SIAP	L24R
KDAY	SIAP	R06LZ
KDAY	SIAP	R06R
KDAY	SIAP	R18
KDAY	SIAP	R24L
KDAY	SIAP	R24RZ
KDAY	SIAP	R36
KDAY	SID	DAY6
KDAY	STAR	DANEI2
KDAY	STAR	KEKEE3
KDBN	SIAP	I02
KDBN	SIAP	L02
KDBN	SIAP	R02
KDBN	SIAP	R20
KDBQ	SIAP	L31
KDBQ	SIAP	R13
KDBQ	SIAP	R18
KDBQ	SIAP	R31
KDBQ	SIAP	R36
KDCA	SIAP	H01
KDCA	SIAP	H19
KDCA	SIAP	I01
KDCA	SIAP	L01
KDCA	SIAP	R15
KDCA	SIAP	R33
KDCA	SIAP	X19-Y
KDCA	SIAP	X19-Z
KDCA	SID	BOOCK3
KDCA	SID	CLTCH2
KDCA	SID	DOCTR4
KDCA	SID	HORTO3
KDCA	SID	JDUBB2
KDCA	SID	REBLL4
KDCA	SID	SCRAM4
KDCA	SID	SOOKI4
KDCA	SID	WYNGS4
KDCA	STAR	CAPSS3
KDCA	STAR	CLIPR2
KDCA	STAR	DEALE3
KDCA	STAR	FRDMM4
KDCA	STAR	IRONS7
KDCA	STAR	NUMMY2
KDCA	STAR	SKILS4
KDCA	STAR	TIKEE3
KDCA	STAR	TRUPS4
KDCM	SIAP	R17
KDCM	SIAP	R35
KDCM	STAR	CHPTR3
KDCM	STAR	LIINN3
KDCM	STAR	MAJIC3
KDCM	STAR	RASLN3
KDCM	STAR	UNARM6
KDCU	SIAP	I18-Y
KDCU	SIAP	I18-Z
KDCU	SIAP	L18-Y
KDCU	SIAP	L18-Z
KDCU	SIAP	R18
KDCU	SIAP	R36
KDCY	SIAP	R18
KDDC	SIAP	I14
KDDC	SIAP	L14
KDDC	SIAP	R02
KDDC	SIAP	R14
KDDC	SIAP	R20
KDDC	SIAP	R32
KDDC	SIAP	V14
KDDH	SIAP	R13
KDEC	SIAP	B24
KDEC	SIAP	I06
KDEC	SIAP	L06
KDEC	SIAP	R06
KDEC	SIAP	R12
KDEC	SIAP	R18
KDEC	SIAP	R24
KDEC	SIAP	R30
KDEC	SIAP	R36
KDEC	SIAP	S18
KDED	SIAP	R05
KDED	SIAP	R12
KDED	SIAP	R23
KDED	SIAP	R30
KDEH	SIAP	R11
KDEH	SIAP	R29
KDEN	SIAP	H07-Z
KDEN	SIAP	H08-Z
KDEN	SIAP	H16LZ
KDEN	SIAP	H16RZ
KDEN	SIAP	H17LZ
KDEN	SIAP	H17RZ
KDEN	SIAP	H25-Z
KDEN	SIAP	H26-Z
KDEN	SIAP	H34LZ
KDEN	SIAP	H34RZ
KDEN	SIAP	H35LZ
KDEN	SIAP	H35RZ
KDEN	SIAP	I07
KDEN	SIAP	I08
KDEN	SIAP	I16L
KDEN	SIAP	I16R
KDEN	SIAP	I17L
KDEN	SIAP	I17R
KDEN	SIAP	I25
KDEN	SIAP	I26
KDEN	SIAP	I34L
KDEN	SIAP	I34R
KDEN	SIAP	I35L
KDEN	SIAP	I35R
KDEN	SIAP	L07
KDEN	SIAP	L08
KDEN	SIAP	L16L
KDEN	SIAP	L16R
KDEN	SIAP	L17L
KDEN	SIAP	L17R
KDEN	SIAP	L25
KDEN	SIAP	L26
KDEN	SIAP	L34L
KDEN	SIAP	L34R
KDEN	SIAP	L35L
KDEN	SIAP	L35R
KDEN	SIAP	R07-Y
KDEN	SIAP	R08-Y
KDEN	SIAP	R16LY
KDEN	SIAP	R16RY
KDEN	SIAP	R17LY
KDEN	SIAP	R17RY
KDEN	SIAP	R25-Y
KDEN	SIAP	R26-Y
KDEN	SIAP	R34LY
KDEN	SIAP	R34RY
KDEN	SIAP	R35LY
KDEN	SIAP	R35RY
KDEN	SID	BAYLR4
KDEN	SID	BRYCC4
KDEN	SID	CONNR5
KDEN	SID	COORZ4
KDEN	SID	DENVR1
KDEN	SID	EEONS6
KDEN	SID	EMMYS6
KDEN	SID	EPKEE5
KDEN	SID	EXTAN5
KDEN	SID	FOOOT4
KDEN	SID	PIKES1
KDEN	SID	PLAIN9
KDEN	SID	RIKKK4
KDEN	SID	ROCKI4
KDEN	SID	SOLAR4
KDEN	SID	SPAZZ4
KDEN	SID	STAKR4
KDEN	SID	YAMMI4
KDEN	SID	YELLO2
KDEN	SID	YOKES6
KDEN	STAR	ANCHR4
KDEN	STAR	BOSSS2
KDEN	STAR	CREDE3
KDEN	STAR	DANDD9
KDEN	STAR	FRNCH3
KDEN	STAR	JAGGR3
KDEN	STAR	KAILE2
KDEN	STAR	KIPPR5
KDEN	STAR	KOHOE3
KDEN	STAR	LANDR9
KDEN	STAR	LARKS9
KDEN	STAR	LDORA2
KDEN	STAR	MOLTN3
KDEN	STAR	PEEKK3
KDEN	STAR	POWDR9
KDEN	STAR	PURRL2
KDEN	STAR	QUAIL9
KDEN	STAR	RAMMS7
KDEN	STAR	SAYGE1
KDEN	STAR	TELLR2
KDEN	STAR	TOMSN7
KDEN	STAR	TSHNR3
KDEN	STAR	WAHUU2
KDEN	STAR	ZPLYN3
KDEQ	SIAP	R08
KDET	SIAP	I15
KDET	SIAP	I33
KDET	SIAP	L15
KDET	SIAP	L33
KDET	SIAP	R15
KDET	SIAP	R33
KDET	SID	BARII1
KDET	SID	CCOBB1
KDET	SID	CLVIN1
KDET	SID	HHOWE1
KDET	SID	KAYLN1
KDET	SID	LIDDS1
KDET	SID	METRO1
KDET	SID	MIGGY1
KDET	SID	PAVYL1
KDET	SID	SNDRS1
KDET	SID	TRMML1
KDET	SID	ZETTR1
KDET	STAR	FOREY1
KDET	STAR	GIGGY1
KDET	STAR	PETTE1
KDET	STAR	RRALF1
KDEW	SIAP	R16
KDEW	SIAP	R34
KDFI	SIAP	R12
KDFW	SIAP	H13RZ
KDFW	SIAP	H31LZ
KDFW	SIAP	H31RZ
KDFW	SIAP	I13R
KDFW	SIAP	I17C
KDFW	SIAP	I17L
KDFW	SIAP	I17R
KDFW	SIAP	I18L
KDFW	SIAP	I18R
KDFW	SIAP	I31R
KDFW	SIAP	I35C
KDFW	SIAP	I35L
KDFW	SIAP	I35R
KDFW	SIAP	I36L
KDFW	SIAP	I36R
KDFW	SIAP	L13R
KDFW	SIAP	L17C
KDFW	SIAP	L17L
KDFW	SIAP	L17R
KDFW	SIAP	L18L
KDFW	SIAP	L18R
KDFW	SIAP	L31R
KDFW	SIAP	L35C
KDFW	SIAP	L35L
KDFW	SIAP	L35R
KDFW	SIAP	L36L
KDFW	SIAP	L36R
KDFW	SIAP	R13RY
KDFW	SIAP	R17C
KDFW	SIAP	R17L
KDFW	SIAP	R17R
KDFW	SIAP	R18L
KDFW	SIAP	R18R
KDFW	SIAP	R31LY
KDFW	SIAP	R31RY
KDFW	SIAP	R35C
KDFW	SIAP	R35L
KDFW	SIAP	R35R
KDFW	SIAP	R36L
KDFW	SIAP	R36R
KDFW	SID	AKUNA7
KDFW	SID	ALIAN2
KDFW	SID	ARDIA6
KDFW	SID	BLECO8
KDFW	SID	CYOTE9
KDFW	SID	DALL4
KDFW	SID	DARTZ7
KDFW	SID	FORCK2
KDFW	SID	GARL6
KDFW	SID	GRABE8
KDFW	SID	HRPER3
KDFW	SID	HUBB9
KDFW	SID	HUDAD2
KDFW	SID	JACKY7
KDFW	SID	JASPA5
KDFW	SID	JPOOL9
KDFW	SID	KATZZ2
KDFW	SID	KEENE1
KDFW	SID	KING4
KDFW	SID	KUSSO5
KDFW	SID	LOWGN8
KDFW	SID	MRSSH2
KDFW	SID	NELYN5
KDFW	SID	SWABR5
KDFW	SID	TEX5
KDFW	SID	TGATE9
KDFW	SID	TRYTN3
KDFW	SID	WORTH1
KDFW	SID	WSTEX2
KDFW	SID	WYLIE9
KDFW	SID	ZACHH3
KDFW	STAR	BEREE1
KDFW	STAR	BOOVE4
KDFW	STAR	BRDJE3
KDFW	STAR	CABBY2
KDFW	STAR	CAINE2
KDFW	STAR	DAWGZ2
KDFW	STAR	FINGR5
KDFW	STAR	FORNY2
KDFW	STAR	GIBBI2
KDFW	STAR	JOVEM4
KDFW	STAR	PAWLZ3
KDFW	STAR	SEEVR4
KDFW	STAR	SHAAM2
KDFW	STAR	SOCKK3
KDFW	STAR	TILLA3
KDFW	STAR	VKTRY2
KDFW	STAR	WHINY4
KDFW	STAR	YEAGR3
KDGW	SIAP	R11
KDGW	SIAP	R29
KDGW	SIAP	S29
KDHN	SIAP	I14
KDHN	SIAP	L14
KDHN	SIAP	R14
KDHN	SIAP	R18
KDHN	SIAP	R32
KDHN	SIAP	R36
KDHN	SIAP	VOR-A
KDHT	SIAP	R17
KDHT	SIAP	R35
KDIJ	SIAP	R04
KDIJ	SIAP	RNV-A
KDIJ	SID	LAMON2
KDIK	SIAP	I32
KDIK	SIAP	L32
KDIK	SIAP	R14
KDIK	SIAP	R25
KDIK	SIAP	R32
KDIK	SIAP	VOR-A
KDKB	SIAP	I02
KDKB	SIAP	L02
KDKB	SIAP	R02
KDKB	SIAP	R09
KDKB	SIAP	R20
KDKB	SIAP	R27
KDKK	SIAP	R15
KDKK	SIAP	R33
KDKK	SIAP	RNV-A
KDKK	SIAP	RNV-B
KDKR	SIAP	R02
KDKR	SIAP	R20
KDKX	SIAP	L26
KDKX	SIAP	R26
KDKX	SIAP	VDM-B
KDLC	SIAP	D07
KDLH	SIAP	D21
KDLH	SIAP	I09
KDLH	SIAP	I27
KDLH	SIAP	L09
KDLH	SIAP	L27
KDLH	SIAP	R03
KDLH	SIAP	R09
KDLH	SIAP	R21
KDLH	SIAP	R27
KDLH	SIAP	S03
KDLL	SIAP	L01
KDLL	SIAP	R01
KDLL	SIAP	R19
KDLN	SIAP	R17
KDLN	SIAP	R35
KDLN	SIAP	VDM-B
KDLO	SIAP	P32
KDLO	SIAP	S32
KDLS	SIAP	RNV-A
KDLS	SID	DALLS1
KDLZ	SIAP	R10
KDLZ	SIAP	R28
KDLZ	SIAP	S28
KDMN	SIAP	R04
KDMN	SIAP	R08
KDMN	SIAP	R22
KDMN	SIAP	RNV-A
KDMN	SIAP	S26
KDMO	SIAP	R18
KDMO	SIAP	R36
KDMW	SIAP	R16
KDMW	SIAP	R34
KDMW	SIAP	S34
KDMW	SID	CONLE3
KDMW	SID	TERPZ6
KDMW	STAR	RAVNN6
KDMW	STAR	RIPKN2
KDMW	STAR	TRSTN3
KDNA	SIAP	R10
KDNL	SIAP	R05
KDNL	SIAP	R11-Y
KDNL	SIAP	VDM-B
KDNL	SID	AZALA4
KDNL	SID	CHATT6
KDNL	SID	MISTY6
KDNL	SID	NDINA5
KDNL	SID	SAMMI4
KDNN	SIAP	I14
KDNN	SIAP	L14
KDNN	SIAP	R14
KDNN	SIAP	R32
KDNS	SIAP	R12
KDNS	SIAP	R30
KDNV	SIAP	I21
KDNV	SIAP	L21
KDNV	SIAP	R03
KDNV	SIAP	R21
KDNV	SIAP	R34
KDOV	STAR	ENO3
KDPA	SIAP	I02L
KDPA	SIAP	I10
KDPA	SIAP	L02L
KDPA	SIAP	L10
KDPA	SIAP	R02L
KDPA	SIAP	R02R
KDPA	SIAP	R10
KDPA	SIAP	R20L
KDPA	SIAP	R20R
KDPA	SID	ADELL5
KDPA	SID	BLOKR5
KDPA	SID	CARYN5
KDPA	SID	DARCY5
KDPA	SID	ELANR5
KDPA	SID	OBENE3
KDPL	SIAP	R05
KDPL	SIAP	R23
KDQH	SIAP	R04
KDQH	SIAP	R22
KDRI	SIAP	N36
KDRI	SIAP	R18
KDRI	SIAP	R36
KDRM	SIAP	R08
KDRM	SIAP	R26
KDRO	SIAP	I03
KDRO	SIAP	L03
KDRO	SIAP	R03
KDRP	SIAP	R18
KDRP	SIAP	R36
KDRT	SIAP	R13
KDRT	SIAP	VOR-A
KDSM	SIAP	I05
KDSM	SIAP	I13
KDSM	SIAP	I31
KDSM	SIAP	L05
KDSM	SIAP	L13
KDSM	SIAP	L31
KDSM	SIAP	R05
KDSM	SIAP	R13
KDSM	SIAP	R23
KDSM	SIAP	R31
KDSM	SID	DSM9
KDSV	SIAP	R14
KDSV	SIAP	RNV-A
KDTA	SIAP	D17
KDTA	SIAP	R17
KDTA	SIAP	R35
KDTL	SIAP	R13
KDTL	SIAP	R31
KDTN	SIAP	L14
KDTN	SIAP	R14
KDTN	SIAP	R32
KDTO	SIAP	I18
KDTO	SIAP	L18
KDTO	SIAP	N18
KDTO	SIAP	R18
KDTO	SIAP	R36
KDTO	SID	DALL4
KDTO	SID	GARL6
KDTO	SID	HUBB9
KDTO	SID	JPOOL9
KDTO	SID	KING4
KDTO	SID	KUSSO5
KDTO	SID	SWABR5
KDTO	SID	TEX5
KDTO	SID	WORTH1
KDTO	STAR	DODJE5
KDTO	STAR	GREGS8
KDTO	STAR	JFRYE3
KDTO	STAR	LIKES3
KDTO	STAR	REEKO3
KDTO	STAR	SASIE5
KDTO	STAR	SLUGG7
KDTO	STAR	TRUUK2
KDTS	SIAP	R14
KDTS	SIAP	R32
KDTW	SIAP	H03RW
KDTW	SIAP	H03RX
KDTW	SIAP	H04LU
KDTW	SIAP	H04LW
KDTW	SIAP	H04LX
KDTW	SIAP	H04RX
KDTW	SIAP	H21LW
KDTW	SIAP	H21LX
KDTW	SIAP	H22LX
KDTW	SIAP	H22RU
KDTW	SIAP	H22RW
KDTW	SIAP	H22RX
KDTW	SIAP	I03R
KDTW	SIAP	I04LY
KDTW	SIAP	I04LZ
KDTW	SIAP	I04R
KDTW	SIAP	I21L
KDTW	SIAP	I22L
KDTW	SIAP	I22RY
KDTW	SIAP	I22RZ
KDTW	SIAP	I27L
KDTW	SIAP	I27R
KDTW	SIAP	L03R
KDTW	SIAP	L04L
KDTW	SIAP	L04R
KDTW	SIAP	L21L
KDTW	SIAP	L22L
KDTW	SIAP	L22R
KDTW	SIAP	L27L
KDTW	SIAP	L27R
KDTW	SIAP	R03RZ
KDTW	SIAP	R04LY
KDTW	SIAP	R04LZ
KDTW	SIAP	R04RZ
KDTW	SIAP	R21LZ
KDTW	SIAP	R22LZ
KDTW	SIAP	R22RY
KDTW	SIAP	R22RZ
KDTW	SIAP	R27L
KDTW	SIAP	R27R
KDTW	SID	BARII1
KDTW	SID	CCOBB1
KDTW	SID	CLVIN1
KDTW	SID	HHOWE1
KDTW	SID	KAYLN1
KDTW	SID	LIDDS1
KDTW	SID	METRO1
KDTW	SID	MIGGY1
KDTW	SID	PAVYL1
KDTW	SID	SNDRS1
KDTW	SID	TRMML1
KDTW	SID	ZETTR1
KDTW	STAR	BONZZ1
KDTW	STAR	CRAKN1
KDTW	STAR	CUUGR1
KDTW	STAR	FERRL1
KDTW	STAR	GRAYT1
KDTW	STAR	HANBL1
KDTW	STAR	HAYLL2
KDTW	STAR	HTROD1
KDTW	STAR	KKISS1
KDTW	STAR	KLYNK2
KDTW	STAR	LAYKS1
KDTW	STAR	LECTR2
KDTW	STAR	RKCTY1
KDTW	STAR	TPGUN1
KDTW	STAR	VCTRZ1
KDTW	STAR	WNGNT1
KDUA	SIAP	D35
KDUA	SIAP	R17
KDUA	SIAP	R35
KDUC	SIAP	R17
KDUC	SIAP	R35
KDUG	SIAP	D17
KDUG	SIAP	R17
KDUH	SIAP	RNV-A
KDUJ	SIAP	D07
KDUJ	SIAP	I25
KDUJ	SIAP	L25
KDUJ	SIAP	R07
KDUJ	SIAP	R25
KDUX	SIAP	R01
KDUX	SIAP	R19
KDVK	SIAP	R12
KDVK	SIAP	R30
KDVL	SIAP	I31
KDVL	SIAP	L31
KDVL	SIAP	R03
KDVL	SIAP	R13
KDVL	SIAP	R21
KDVL	SIAP	R31
KDVN	SIAP	I15
KDVN	SIAP	L15
KDVN	SIAP	R03
KDVN	SIAP	R15
KDVN	SIAP	R21
KDVN	SIAP	R33
KDVN	SIAP	S03
KDVN	SIAP	S21
KDVO	SIAP	P13
KDVP	SIAP	R17
KDVP	SIAP	R35
KDVT	SIAP	R07R
KDVT	SIAP	R25L
KDVT	SIAP	RNV-B
KDVT	SIAP	RNV-C
KDVT	SID	BNYRD6
KDVT	SID	DVT1
KDVT	SID	FTHLS6
KDVT	SID	IZZZO7
KDVT	SID	JUDTH7
KDVT	SID	KATMN6
KDVT	SID	LALUZ6
KDVT	SID	MAYSA6
KDVT	SID	SNOBL6
KDVT	SID	YOTES6
KDVT	STAR	ARLIN4
KDVT	STAR	BLH5
KDVT	STAR	DSERT2
KDVT	STAR	SUNSS8
KDWA	SIAP	R16
KDWA	SIAP	R34
KDWH	SIAP	L17R
KDWH	SIAP	R17R
KDWH	SIAP	R35L
KDWH	SID	AEX1
KDWH	SID	BLTWY5
KDWH	SID	BORRN3
KDWH	SID	CRIED9
KDWH	SID	ELD9
KDWH	SID	GIFFA9
KDWH	SID	HOODO5
KDWH	SID	IDU9
KDWH	SID	INDIE6
KDWH	SID	JCT1
KDWH	SID	KARRR4
KDWH	SID	LCH5
KDWH	SID	LFK2
KDWH	SID	LOA3
KDWH	SID	LURIC6
KDWH	SID	MMALT4
KDWH	SID	PSX9
KDWH	SID	STRYA6
KDWH	SID	STYCK6
KDWH	SID	WATFO4
KDWH	SID	WYLSN6
KDWH	STAR	HUDZY3
KDWH	STAR	OHIIO4
KDWH	STAR	RIICE8
KDWH	STAR	WHAEL3
KDWU	SIAP	D10
KDWU	SIAP	R10
KDWU	SIAP	R28
KDWX	SIAP	R24
KDWX	SID	CRBN1
KDWX	SID	DIXON1
KDXE	SIAP	D36
KDXE	SIAP	R18
KDXE	SIAP	R36
KDXR	SIAP	L08
KDXR	SIAP	R08
KDXR	SIAP	RNV-A
KDXR	STAR	NOBBI5
KDXR	STAR	RICED4
KDXR	STAR	VALRE5
KDXX	SIAP	R14
KDXX	SIAP	R32
KDYA	SIAP	R04
KDYA	SIAP	R22
KDYB	SIAP	R06
KDYB	SIAP	R24
KDYL	SIAP	D23
KDYL	SIAP	R05
KDYL	SIAP	R23
KDYR	SIAP	R04
KDYR	SIAP	R22
KDZJ	SIAP	R08
KEAG	SIAP	R13
KEAG	SIAP	R31
KEAG	SIAP	VDM-A
KEAN	SIAP	RNV-A
KEAR	SIAP	I36
KEAR	SIAP	L36
KEAR	SIAP	R13
KEAR	SIAP	R18
KEAR	SIAP	R36
KEAT	SIAP	H12
KEAT	SIAP	H30-Z
KEAT	SIAP	I12-Y
KEAT	SIAP	I12-Z
KEAT	SIAP	VOR-A
KEAT	SIAP	VOR-B
KEAT	SID	OFARO2
KEAT	SID	ZARLO2
KEAU	SIAP	B04
KEAU	SIAP	I22
KEAU	SIAP	L22
KEAU	SIAP	R04
KEAU	SIAP	R22
KEBA	SIAP	D11
KEBA	SIAP	R11
KEBA	SIAP	R29
KEBD	SIAP	R08
KEBD	SIAP	R26
KEBG	SIAP	R14
KEBG	SIAP	R32
KEBS	SIAP	D14
KEBS	SIAP	R14
KEBS	SIAP	R32
KECG	SIAP	D28
KECG	SIAP	I10
KECG	SIAP	L10
KECG	SIAP	N10
KECG	SIAP	R01
KECG	SIAP	R10
KECG	SIAP	R19
KECG	SIAP	R28
KECP	SIAP	I16
KECP	SIAP	L16
KECP	SIAP	R16
KECP	SIAP	R34
KECS	SIAP	R14
KECS	SIAP	R32
KECU	SIAP	R14
KECU	SIAP	V14
KEDC	SIAP	R13
KEDC	SIAP	R31
KEDC	SID	AEROZ1
KEDC	SID	BNDIA2
KEDC	SID	ELOEL2
KEDC	SID	ILEXY2
KEDC	SID	MUCKY2
KEDC	SID	SAYBR2
KEDC	STAR	BITER8
KEDC	STAR	BLEWE4
KEDC	STAR	MSTLO3
KEDC	STAR	POTRR1
KEDE	SIAP	I19
KEDE	SIAP	L19
KEDE	SIAP	R01
KEDE	SIAP	R19
KEDJ	SIAP	D07
KEDJ	SIAP	D25
KEDJ	SIAP	R07
KEDJ	SIAP	R25
KEDN	SIAP	R05
KEDU	SIAP	R17
KEED	SIAP	R29
KEED	SIAP	VOR-A
KEEN	SIAP	I02
KEEN	SIAP	L02
KEEN	SIAP	R02
KEEO	SIAP	R03
KEEO	SIAP	RNV-B
KEET	SIAP	R16
KEET	SIAP	R34
KEFC	SIAP	R32
KEFD	SIAP	I17R
KEFD	SIAP	I22
KEFD	SIAP	I35L
KEFD	SIAP	L17R
KEFD	SIAP	L22
KEFD	SIAP	L35L
KEFD	SIAP	R04
KEFD	SIAP	R17R
KEFD	SIAP	R22
KEFD	SIAP	R35L
KEFD	SID	AEX1
KEFD	SID	BLTWY5
KEFD	SID	BORRN3
KEFD	SID	CRIED9
KEFD	SID	ELD9
KEFD	SID	GIFFA9
KEFD	SID	HOODO5
KEFD	SID	IDU9
KEFD	SID	INDIE6
KEFD	SID	KARRR4
KEFD	SID	LFK2
KEFD	SID	LOA3
KEFD	SID	LURIC6
KEFD	SID	MMALT4
KEFD	SID	NGP7
KEFD	SID	PSX9
KEFD	SID	STRYA6
KEFD	SID	STYCK6
KEFD	SID	WATFO4
KEFD	SID	WYLSN6
KEFD	STAR	BLUBL3
KEFD	STAR	CESAN4
KEFD	STAR	HUDZY3
KEFD	STAR	OHIIO4
KEFD	STAR	QTRBK1
KEFD	STAR	TCHDN2
KEFD	STAR	TKNIQ2
KEFD	STAR	WAPPL4
KEFK	SIAP	R36
KEFT	SIAP	D30
KEFT	SIAP	R12
KEFT	SIAP	R30
KEFW	SIAP	R14
KEFW	SIAP	R32
KEGE	SIAP	RNV-D
KEGE	SIAP	X25
KEGE	SID	BEVVR1
KEGE	SID	EKR3
KEGE	SID	GYPSM6
KEGQ	SIAP	R13
KEGQ	SIAP	R31
KEGT	SIAP	R18
KEGT	SIAP	R36
KEGT	SIAP	S18
KEGV	SIAP	L04
KEGV	SIAP	R04
KEGV	SIAP	R22
KEHA	SIAP	R04
KEHA	SIAP	R17
KEHA	SIAP	R22
KEHA	SIAP	R35
KEHO	SIAP	R05
KEHO	SIAP	R23
KEHO	STAR	CHPTR3
KEHO	STAR	LIINN3
KEHO	STAR	MAJIC3
KEHO	STAR	RASLN3
KEHO	STAR	UNARM6
KEHR	SIAP	R09
KEHR	SIAP	R27
KEIK	SIAP	VDM-A
KEIW	SIAP	R18
KEIW	SIAP	R36
KEIW	SIAP	VDM-A
KEKA	SIAP	R12
KEKA	SIAP	RNV-B
KEKA	SIAP	VOR-A
KEKM	SIAP	I27
KEKM	SIAP	L27
KEKM	SIAP	R09
KEKM	SIAP	R18
KEKM	SIAP	R27
KEKM	SIAP	R36
KEKM	SIAP	S09
KEKN	SIAP	R05
KEKN	SIAP	R23
KEKN	SIAP	RNV-A
KEKO	SIAP	R06
KEKO	SIAP	R24
KEKO	SIAP	X24
KEKQ	SIAP	R03
KEKQ	SIAP	R21
KEKS	SIAP	R16
KEKS	SIAP	R34
KEKS	SID	ENNIS1
KEKX	SIAP	L05
KEKX	SIAP	R05
KEKX	SIAP	R23
KEKY	SIAP	I05
KEKY	SIAP	L05
KEKY	SIAP	R05
KEKY	SIAP	R23
KELA	SIAP	R17
KELA	SIAP	R35
KELA	SIAP	S17
KELD	SIAP	D04
KELD	SIAP	I22
KELD	SIAP	L22
KELD	SIAP	R04
KELD	SIAP	R22
KELK	SIAP	R17
KELK	SIAP	R35
KELM	SIAP	I06
KELM	SIAP	I24
KELM	SIAP	L06
KELM	SIAP	L24
KELM	SIAP	R06
KELM	SIAP	R10
KELM	SIAP	R24
KELM	SIAP	R28
KELM	SID	ELMIR4
KELN	SIAP	R29
KELN	SIAP	RNV-C
KELN	SIAP	VOR-A
KELO	SIAP	R12
KELO	SIAP	R30
KELP	SIAP	H04-Y
KELP	SIAP	H04-Z
KELP	SIAP	H22-Z
KELP	SIAP	H26LZ
KELP	SIAP	I22
KELP	SIAP	L04
KELP	SIAP	L22
KELP	SIAP	R04-X
KELP	SIAP	R22-Y
KELP	SIAP	R26LY
KELP	SIAP	R26R
KELP	SIAP	V26L
KELP	SID	ATKNN5
KELP	SID	JCOXX2
KELP	SID	LATVE3
KELP	SID	NEVUE3
KELP	SID	TDOWN3
KELP	STAR	BEAHR3
KELP	STAR	HSKNS1
KELP	STAR	MOLLY4
KELP	STAR	SAMMR3
KELP	STAR	WAZKO1
KELY	SIAP	R18
KELY	SIAP	VDM-C
KELY	SID	ELY2
KELZ	SIAP	R10
KELZ	SIAP	R28
KEMM	SIAP	R16
KEMM	SIAP	R34
KEMM	SID	KEMRR5
KEMP	SIAP	R01
KEMP	SIAP	R19
KEMP	SIAP	VOR-A
KEMT	SIAP	VOR-A
KEMT	SIAP	VOR-B
KEMT	STAR	SETER5
KEMT	STAR	ZIGGY7
KEMV	SIAP	L34
KEMV	SIAP	R16
KEMV	SIAP	R34
KENL	SIAP	R18
KENL	SIAP	R36
KENV	SIAP	D26
KENV	SIAP	R08
KENV	SIAP	R26
KENV	SIAP	RNV-A
KENV	SIAP	RNV-C
KENV	SIAP	VDM-B
KENV	SID	ENV1
KENW	SIAP	I07L
KENW	SIAP	L07L
KENW	SIAP	R07L
KENW	SIAP	R15
KENW	SIAP	R25R
KENW	SIAP	R33
KENW	SID	ACCRA4
KENW	SID	UECKR5
KENW	STAR	GOPAC2
KEOE	SIAP	R04
KEOE	SIAP	R22
KEOK	SIAP	I26
KEOK	SIAP	L26
KEOK	SIAP	R08
KEOK	SIAP	R14
KEOK	SIAP	R26
KEOK	SIAP	R32
KEOP	SIAP	R07
KEOP	SIAP	R25
KEOS	SIAP	R01
KEOS	SIAP	R19
KEOS	SIAP	VOR-A
KEPH	SIAP	D03
KEPH	SIAP	R03
KEPH	SIAP	R21
KEPH	SIAP	V21
KEPM	SIAP	R15
KEPM	SIAP	R33
KEQA	SIAP	R04
KEQA	SIAP	R15
KEQA	SIAP	R22
KEQA	SIAP	R33
KEQY	SIAP	I05
KEQY	SIAP	L05
KEQY	SIAP	R05
KEQY	SIAP	R23
KEQY	SID	BARMY4
KEQY	SID	BEAVY5
KEQY	SID	BOBZY4
KEQY	SID	ESTRR4
KEQY	SID	ICONS4
KEQY	SID	JOJJO4
KEQY	SID	KER3
KEQY	SID	KILNS4
KEQY	SID	KNI2
KEQY	SID	KRITR5
KEQY	SID	KWEEN4
KEQY	SID	LILLS2
KEQY	SID	WEAZL4
KEQY	STAR	CHPTR3
KEQY	STAR	LIINN3
KEQY	STAR	MAJIC3
KEQY	STAR	RASLN3
KEQY	STAR	UNARM6
KERI	SIAP	I06
KERI	SIAP	I24
KERI	SIAP	L06
KERI	SIAP	L24
KERI	SIAP	N24
KERI	SIAP	R06
KERI	SIAP	R24
KERV	SIAP	L30
KERV	SIAP	R12
KERV	SIAP	R30
KERV	SIAP	VOR-A
KERY	SIAP	R11
KERY	SIAP	R29
KESC	SIAP	B27
KESC	SIAP	I09
KESC	SIAP	L09
KESC	SIAP	R01
KESC	SIAP	R09
KESC	SIAP	R27
KESF	SIAP	I27
KESF	SIAP	L27
KESF	SIAP	R09
KESF	SIAP	R27
