n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C4_001,34,32.73483898291541,-117.1902454102048,Txy_B4_002,33,32.7345497139674,-117.1908280944368
Txy_C4_001,34,32.73483898291541,-117.1902454102048,Txy_C_012,182,32.73465898850548,-117.1894863873448
Txy_C_012,182,32.73465898850548,-117.1894863873448,Txy_C_011,197,32.73450596133225,-117.1888463201505
Txy_C_011,197,32.73450596133225,-117.1888463201505,Txy_C_010,196,32.73439877837116,-117.1883944019599
Txy_C_010,196,32.73439877837116,-117.1883944019599,Txy_C3_C,45,32.7342949492877,-117.1879872300624
Parking_04_009,162,32.73567208196548,-117.1891383160599,Txy_C_012,182,32.73465898850548,-117.1894863873448
Parking_04_010,165,32.73541877381414,-117.1885348646668,Txy_C_011,197,32.73450596133225,-117.1888463201505
Parking_04_011,164,32.73530768422739,-117.1880854852012,Txy_C_010,196,32.73439877837116,-117.1883944019599
Parking_04_012,181,32.73520576748595,-117.1876318273744,Txy_C3_C,45,32.7342949492877,-117.1879872300624
Parking_04_013,166,32.73508610680943,-117.1871800449714,Txy_C_009,195,32.7341831528561,-117.1875077925162
Parking_04_014,167,32.73497474957033,-117.1867293950281,Txy_C_008,194,32.73406834304309,-117.187041672607
Parking_04_015,168,32.73486320010915,-117.186280287721,Txy_C_007,193,32.73395957110338,-117.186592285454
Parking_04_016,169,32.73474625353865,-117.1858299869882,Txy_C_006,192,32.73384576018533,-117.1861189943631
Parking_04_017,170,32.73464746748498,-117.1853742801478,Txy_C_005,191,32.73373799352601,-117.1856779757897
Parking_04_018,171,32.73450714583182,-117.1848761840947,Txy_C_004,190,32.7335830552573,-117.1851893785995
Txy_C_D,48,32.73288995391358,-117.1826198125,Txy_C2_C,47,32.73327154633945,-117.184198591203
Rwy_01_010,8,32.73180749312736,-117.1824837594185,Rwy_01_009,7,32.73230967520488,-117.1845057641867
Rwy_01_011,9,32.73159303831457,-117.1815419162564,Rwy_01_010,8,32.73180749312736,-117.1824837594185
Rwy_01_011,9,32.73159303831457,-117.1815419162564,Rwy_01_012,10,32.73138011833423,-117.1806485959534
Rwy_01_011,9,32.73159303831457,-117.1815419162564,Txy_D_003,61,32.73247707940566,-117.1822787453276
Txy_C_D,48,32.73288995391358,-117.1826198125,Txy_D_003,61,32.73247707940566,-117.1822787453276
Txy_D_020,186,32.73328298281185,-117.1829482280384,Txy_C_D,48,32.73288995391358,-117.1826198125
Txy_D_019,185,32.73369020604537,-117.1832860012294,Txy_D_020,186,32.73328298281185,-117.1829482280384
Txy_C_D,48,32.73288995391358,-117.1826198125,Txy_C_003,188,32.73247776752499,-117.1809221611347
Txy_C_002,187,32.73213512358334,-117.1795065239379,Txy_C_003,188,32.73247776752499,-117.1809221611347
Parking_04_006,163,32.7330121949791,-117.1807021860364,Txy_C_003,188,32.73247776752499,-117.1809221611347
Txy_B_B2,41,32.73136021069685,-117.1848486820624,Txy_D_B,43,32.73029028233997,-117.18045207751
Txy_D_B,43,32.73029028233997,-117.18045207751,Txy_D_002,60,32.73069230488669,-117.1807845230335
Rwy_01_011,9,32.73159303831457,-117.1815419162564,Txy_D_002,60,32.73069230488669,-117.1807845230335
Txy_D_TR,50,32.730136602226,-117.1803241214273,Txy_D_B,43,32.73029028233997,-117.18045207751
Rwy_01_012,10,32.73138011833423,-117.1806485959534,Rwy_01_013,11,32.7304167988896,-117.1767444206602
Rwy_01_013,11,32.7304167988896,-117.1767444206602,Txy_B1_004,74,32.73105502112025,-117.1764510288821
Txy_B1_004,74,32.73105502112025,-117.1764510288821,Txy_B1_005,75,32.73129723965151,-117.1764152752127
