id,index,lat,lon,yEdId,domain,refName,type
MHT-Ref,0,42.93280555555555,-71.43573888888889,n0,Unknown,null,null
Txy_M_001,1,42.92880395470714,-71.44720364588873,n1,Txy,null,null
Txy_M1_001,2,42.9276273509679,-71.44756086599527,n2,Txy,null,null
Rwy_02_007,3,42.92926366308033,-71.44792507046212,n3,Rwy,RW06 ,Entry
Rwy_02_008,4,42.92848003625991,-71.44889310191462,n4,Rwy,null,null
Rwy_02_006,5,42.93563356730854,-71.43997366807623,n5,Rwy,null,null
Txy_B_001,6,42.93517020276683,-71.43927494069143,n6,Txy,null,null
Rwy_02_004,7,42.93718025897847,-71.43804202170354,n7,Rwy,null,null
Txy_A_001,8,42.93615418698069,-71.43791457184392,n8,Txy,null,null
Rwy_02_005,9,42.93691846700452,-71.43838725971071,n9,Rwy,null,null
Rwy_01_02,10,42.9378091571112,-71.43726522592881,n10,Rwy,null,null
Rwy_01_003,11,42.93704788159597,-71.43680898601895,n11,Rwy,null,null
Txy_H_004,12,42.9399004376029,-71.43599519354663,n12,Txy,null,null
Rwy_02_003,13,42.93930164317978,-71.43540742467519,n13,Rwy,null,null
Rwy_02_001,14,42.94354758069333,-71.43013551999955,n14,Rwy,RW24 ,Entry
Rwy_02_002,15,42.94269107995812,-71.43120786458992,n15,Rwy,null,null
Txy_J_001,16,42.94282596562572,-71.42946206703252,n16,Txy,null,null
Txy_J_J1,17,42.94207249740459,-71.43031339823501,n17,Txy,null,null
Txy_H_005,18,42.93865504041975,-71.43476724922601,n18,Txy,null,null
Txy_H_003,19,42.94112576778755,-71.43720963608975,n19,Txy,null,null
Rwy_01_001,20,42.94167338283221,-71.43955440318163,n20,Rwy,null,null
Txy_H_L,21,42.94081854566284,-71.43689944252145,n21,Txy,null,null
Txy_H_001,22,42.94211777877051,-71.438165298097,n22,Txy,null,null
Parking_L_001,23,42.94283209500064,-71.43646037498365,n23,Park,null,null
Txy_H_002,24,42.94201011664437,-71.43719300949475,n24,Txy,null,null
Txy_L_001,25,42.94199129979663,-71.43663590130686,n25,Txy,null,null
Txy_A_B,26,42.9355142436542,-71.43754213122364,n26,Txy,null,null
Txy_B_002,27,42.93568014581217,-71.43702036924256,n27,Txy,null,null
Rwy_01_004,28,42.93595082411976,-71.43616467119969,n28,Rwy,null,null
Txy_B_003,29,42.93622149514592,-71.435320893912,n29,Txy,null,null
Rwy_01_002,30,42.94087829045155,-71.43908115748098,n30,Rwy,RW17 ,Entry
Rwy_01_005,31,42.93250591181022,-71.43411893967061,n31,Rwy,null,null
Txy_C_002,32,42.93278053902371,-71.43325702439755,n32,Txy,null,null
Txy_C_001,33,42.93223337437751,-71.43497225821145,n33,Txy,null,null
Txy_D_002,34,42.93021646522205,-71.43172809082404,n34,Txy,null,null
Txy_D_001,35,42.92966513067484,-71.43345758441895,n35,Txy,null,null
Rwy_01_006,36,42.92994184920632,-71.4325957038009,n36,Rwy,null,null
Txy_A_D,37,42.9294969780977,-71.43396985707784,n37,Txy,null,null
Txy_E_012,38,42.92776556545996,-71.43027595566787,n38,Txy,null,null
Txy_E_011,39,42.92720761482343,-71.43200803767027,n39,Txy,null,null
Rwy_01_007,40,42.92748659296593,-71.43114466410756,n40,Rwy,null,null
Txy_A_E,41,42.92704527971061,-71.43252054527777,n41,Txy,null,null
Txy_H_E,42,42.92793139872806,-71.42976948794782,n42,Txy,null,null
Txy_H_D,43,42.93038032245225,-71.43122448133391,n43,Txy,null,null
Parking_D_001,44,42.93066912500134,-71.4302925055756,n44,Park,null,null
Txy_D_003,45,42.93052004918703,-71.43077571743248,n45,Txy,null,null
Txy_C_003,46,42.93307396230559,-71.43230313176902,n46,Txy,null,null
Parking_C_001,47,42.9332487198751,-71.4317449499349,n47,Park,null,null
Txy_H_B,48,42.93639883315132,-71.43480111836507,n48,Txy,null,null
Txy_H_006,49,42.93761149024515,-71.43483868340675,n49,Txy,null,null
Txy_H_007,50,42.93758473008948,-71.43436357797637,n50,Txy,null,null
Parking_H_001,51,42.93756208408685,-71.43387441578096,n51,Park,null,null
Rwy_01_008,52,42.92505947036632,-71.42972621562099,n52,Rwy,null,null
Txy_F_002,53,42.92533043904062,-71.42884939986726,n53,Txy,null,null
Txy_F_001,54,42.92478586322115,-71.43058506211696,n54,Txy,null,null
Txy_A_F,55,42.92464174829662,-71.43110717155045,n55,Txy,null,null
Txy_E_010,56,42.92668494228135,-71.43363486295844,n56,Txy,null,null
Txy_E_013,57,42.92635413967196,-71.43343782693731,n57,Txy,null,null
Txy_E_009,58,42.9262664246821,-71.43495426666713,n58,Txy,null,null
Txy_G_E,59,42.9263838377901,-71.43461828500575,n59,Txy,null,null
Parking_E_002,60,42.92547822606868,-71.43413328061348,n60,Park,null,null
Parking_E_003,61,42.92521196013884,-71.43275394432601,n61,Park,null,null
Parking_E_001,62,42.92547303517966,-71.43622099200354,n62,Park,null,null
Txy_E_008,63,42.9257915037876,-71.43642673883879,n63,Txy,null,null
Txy_M_M1,64,42.92798084620851,-71.44597850926925,n64,Txy,null,null
Txy_H_C,65,42.93294354783556,-71.43274175815792,n65,Txy,null,null
Txy_A_C,66,42.9320602108329,-71.43548781717712,n66,Txy,null,null
Txy_G_D,67,42.92881223657309,-71.43606618155928,n67,Txy,null,null
Rwy_01_009,68,42.92178551819564,-71.42779106939409,n68,Rwy,null,null
Txy_A1_001,69,42.92151233941244,-71.4286536548654,n69,Txy,null,null
Txy_A_A1,70,42.92135299316436,-71.4291698943345,n70,Txy,null,null
Rwy_01_010,71,42.92067422981482,-71.42714144736507,n71,Rwy,RW35 ,Entry
Rwy_01_011,72,42.91863283916771,-71.42592820383679,n72,Rwy,null,null
Txy_A_002,73,42.91805246216536,-71.42757606270303,n73,Txy,null,null
Txy_P_001,74,42.91917698221941,-71.42837950268773,n74,Txy,null,null
Txy_A_003,75,42.91835354154364,-71.42665926770454,n75,Txy,null,null
Txy_A_P,76,42.91939804103102,-71.42889257046745,n76,Txy,null,null
Txy_N_007,77,42.92707924064771,-71.43542892212234,n77,Txy,null,null
Txy_E_M,78,42.92453792225212,-71.44038500125333,n78,Txy,null,null
Gate_02_001,79,42.92388759504446,-71.44379347287806,n79,Gate,null,null
Gate_02_002,80,42.92365047599868,-71.4433366270361,n80,Gate,null,null
Gate_02_003,81,42.92332597910698,-71.44295477445628,n81,Gate,null,null
Ramp_02_001,82,42.92440188748439,-71.44308444667976,n82,Ramp,null,null
Ramp_02_002,83,42.92412731534404,-71.44269577738392,n83,Ramp,null,null
Txy_E_001,84,42.92404248546461,-71.44190486100865,n84,Txy,null,null
Gate_02_004,85,42.92312040895175,-71.44273929570821,n85,Gate,null,null
Gate_02_005,86,42.92289890186445,-71.44240115884283,n86,Gate,null,null
Ramp_02_003,87,42.92364541756628,-71.44197923126771,n87,Ramp,null,null
Ramp_02_004,88,42.92331220628701,-71.44178853165774,n88,Ramp,null,null
Gate_02_006,89,42.92353618117477,-71.44130771095234,n89,Gate,null,null
Ramp_02_005,90,42.92380505224768,-71.44146542461054,n90,Ramp,null,null
Gate_02_007,91,42.92369621242312,-71.44082339349926,n91,Gate,null,null
Ramp_02_006,92,42.92396673360717,-71.44098335829044,n92,Ramp,null,null
Ramp_02_007,93,42.92414821078555,-71.44040893134826,n93,Ramp,null,null
Gate_02_008,94,42.92386944113288,-71.44024446257882,n94,Gate,null,null
Ramp_02_008,95,42.9243610304789,-71.43973313019555,n95,Ramp,null,null
Gate_02_009,96,42.92406168887161,-71.43955392293998,n96,Gate,null,null
Ramp_02_009,97,42.92457785466172,-71.43905700313451,n97,Ramp,null,null
Gate_02_010,98,42.92426573413582,-71.43886777122297,n98,Gate,null,null
Ramp_02_010,99,42.92475601039177,-71.43849144260862,n99,Ramp,null,null
Gate_02_011,100,42.92443779867637,-71.43830429208128,n100,Gate,null,null
Txy_E_002,101,42.92413138344708,-71.44165600074467,n101,Txy,null,null
Txy_H_F,102,42.92577752704128,-71.42852645528633,n102,Txy,null,null
Txy_H_J,103,42.93846266355589,-71.4347274657425,n103,Txy,null,null
Gate_01_016,104,42.92881083165219,-71.43728213831147,n104,Gate,null,null
Gate_01_015,105,42.92873823525843,-71.43701676145693,n105,Gate,null,null
Gate_01_014,106,42.92830264385584,-71.43684761617044,n106,Gate,null,null
Gate_01_013,107,42.92794819177605,-71.43664056249264,n107,Gate,null,null
Gate_01_012,108,42.92769623191851,-71.43648600373766,n108,Gate,null,null
Gate_01_011,109,42.92751046392571,-71.43667555298782,n109,Gate,null,null
Gate_01_010,110,42.9274058340223,-71.43704007168012,n110,Gate,null,null
Gate_01_009,111,42.92735763980781,-71.43722963621968,n111,Gate,null,null
Gate_01_007,112,42.92695525805519,-71.43827923271637,n112,Gate,null,null
Gate_01_008,113,42.92713622507642,-71.43776751984984,n113,Gate,null,null
Gate_01_006,114,42.92677428894047,-71.43877349812784,n114,Gate,null,null
Gate_01_005,115,42.92663163951242,-71.43922996514843,n115,Gate,null,null
Gate_01_004,116,42.92644853487875,-71.43980854238072,n116,Gate,null,null
Gate_01_001,117,42.92685087242933,-71.44066540352425,n117,Gate,null,null
Gate_01_002,118,42.92663160126504,-71.44044441947824,n118,Gate,null,null
Gate_01_003,119,42.92632078239104,-71.44032228480185,n119,Gate,null,null
Ramp_01_001,120,42.92762614850508,-71.43574892680927,n120,Ramp,null,null
Ramp_01_002,121,42.92812899198361,-71.4360591641803,n121,Ramp,null,null
Txy_G_002,122,42.92757983323205,-71.43533326849536,n122,Txy,null,null
Txy_G_001,123,42.928228236511,-71.43571880219255,n123,Txy,null,null
Ramp_01_004,124,42.92889428242998,-71.43650796324009,n124,Ramp,null,null
