n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
txy_G_003,35,34.19504610083641,-118.3567043907684,txy_G_001,37,34.19464184362642,-118.3565941462034
txy_G_001,37,34.19464184362642,-118.3565941462034,txy_G_002,36,34.19421886681295,-118.3559105284816
txy_G_002,36,34.19421886681295,-118.3559105284816,rwy_01_001,10,34.19427900151018,-118.3554738752182
rwy_01_001,10,34.19427900151018,-118.3554738752182,txy_C_102,92,34.19434096237741,-118.3550796052953
rwy_01_001,10,34.19427900151018,-118.3554738752182,rwy_01_002,0,34.19520865356272,-118.355729955255
rwy_01_002,0,34.19520865356272,-118.355729955255,txy_G1_001,75,34.19506367945941,-118.356525305191
txy_G1_001,75,34.19506367945941,-118.356525305191,txy_G_003,35,34.19504610083641,-118.3567043907684
rwy_01_002,0,34.19520865356272,-118.355729955255,txy_C_101,91,34.19527717823231,-118.355335923435
txy_C_101,91,34.19527717823231,-118.355335923435,ramp_01_002,93,34.19531596727112,-118.3551329508063
ramp_01_002,93,34.19531596727112,-118.3551329508063,ramp_01_003,94,34.19575126019688,-118.3552605020834
txy_C_101,91,34.19527717823231,-118.355335923435,txy_C_102,92,34.19434096237741,-118.3550796052953
ramp_01_003,94,34.19575126019688,-118.3552605020834,gate_01_002,107,34.1956659565457,-118.3548356278355
gate_01_001,105,34.19546558882315,-118.3547182368931,ramp_01_002,93,34.19531596727112,-118.3551329508063
ramp_01_003,94,34.19575126019688,-118.3552605020834,ramp_01_001,31,34.19628880119048,-118.3554149607772
gate_01_003,109,34.19604174302859,-118.3548197727276,ramp_01_001,31,34.19628880119048,-118.3554149607772
rwy_02_006,17,34.19771860865836,-118.3555861096236,txy_C_014,33,34.19738654011206,-118.3555902758979
txy_C_013,32,34.19710103769234,-118.3558329139986,rwy_01_003,1,34.19703343535211,-118.3562292292475
rwy_01_003,1,34.19703343535211,-118.3562292292475,rwy_01_002,0,34.19520865356272,-118.355729955255
txy_C_011,30,34.19678109566804,-118.3570035991312,txy_C_010,29,34.19677895974209,-118.3571772711318
txy_C_010,29,34.19677895974209,-118.3571772711318,txy_G_003,35,34.19504610083641,-118.3567043907684
txy_C_011,30,34.19678109566804,-118.3570035991312,rwy_01_003,1,34.19703343535211,-118.3562292292475
txy_C_013,32,34.19710103769234,-118.3558329139986,txy_C_104,108,34.19715779415787,-118.3555900968402
txy_C_104,108,34.19715779415787,-118.3555900968402,txy_C_014,33,34.19738654011206,-118.3555902758979
txy_C_104,108,34.19715779415787,-118.3555900968402,ramp_01_102,90,34.19686944403555,-118.3555794193717
txy_C_104,108,34.19715779415787,-118.3555900968402,txy_C_103,104,34.19722011558407,-118.3553028741674
txy_C_103,104,34.19722011558407,-118.3553028741674,ramp_01_101,106,34.19720800848764,-118.3548186387368
ramp_01_101,106,34.19720800848764,-118.3548186387368,txy_C_015,34,34.19719659144563,-118.3537005979442
txy_C_015,34,34.19719659144563,-118.3537005979442,ramp_01_004,95,34.19718496847064,-118.3528379653624
ramp_01_004,95,34.19718496847064,-118.3528379653624,txy_C_106,148,34.19734839509749,-118.352838125489
txy_C_106,148,34.19734839509749,-118.352838125489,rwy_02_010,146,34.19769252852337,-118.3528357461389
ramp_01_101,106,34.19720800848764,-118.3548186387368,gate_01_005,111,34.1967780279915,-118.3547884415575
gate_01_004,110,34.19646166011366,-118.3549126796175,ramp_01_102,90,34.19686944403555,-118.3555794193717
ramp_01_102,90,34.19686944403555,-118.3555794193717,ramp_01_001,31,34.19628880119048,-118.3554149607772
rwy_02_010,146,34.19769252852337,-118.3528357461389,rwy_02_011,147,34.19767025780551,-118.3515137576224
rwy_02_011,147,34.19767025780551,-118.3515137576224,rwy_02_008,19,34.1976617764527,-118.350173685118
rwy_02_006,17,34.19771860865836,-118.3555861096236,rwy_02_007,18,34.19771654634599,-118.355077896959
rwy_02_007,18,34.19771654634599,-118.355077896959,rwy_02_010,146,34.19769252852337,-118.3528357461389
ramp_01_004,95,34.19718496847064,-118.3528379653624,gate_01_006,112,34.19674999277653,-118.3528452205756
ramp_01_004,95,34.19718496847064,-118.3528379653624,ramp_01_005,96,34.19717641656913,-118.352392287282
ramp_01_005,96,34.19717641656913,-118.352392287282,gate_01_007,113,34.1967488417161,-118.3523971934085
ramp_01_005,96,34.19717641656913,-118.352392287282,ramp_01_006,97,34.19717150274317,-118.3519600666823
ramp_01_006,97,34.19717150274317,-118.3519600666823,gate_01_008,114,34.19674314975951,-118.35195288681
ramp_01_006,97,34.19717150274317,-118.3519600666823,ramp_01_007,98,34.19716339470793,-118.3515120216363
