
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
     75.07026 |       1.41828 |       1.41828 |       0.00000 |      22.68039 |      14.68039 |       2.83103 |       0.06459 |       0.21332 |       0.22882 |       0.22882 |       0.07432 |       0.26332 |       0.26332 |      -0.28379 |      -0.05937 |     317.53128 |     304.40152 |      38.99726 |    -119.75648 |    4716.91553 |       0.30747 |       1.00000 |    3718.12598 |      38.50000 |    -120.00000 | 
     75.16799 |       1.51601 |       1.51601 |       0.00000 |      22.68042 |      14.68042 |       2.83106 |       0.05865 |       0.16137 |       0.17310 |       0.17310 |       0.06749 |       0.19920 |       0.19920 |      -0.23424 |      -0.12647 |     317.53845 |     304.40869 |      38.99726 |    -119.75648 |    4716.91553 |       0.30752 |       1.00000 |    3856.41724 |      38.50000 |    -120.00000 | 
     75.27583 |       1.62385 |       1.62385 |       0.00000 |      22.68045 |      14.68045 |       2.83109 |       0.05214 |       0.18266 |       0.19593 |       0.19593 |       0.06000 |       0.22547 |       0.22547 |      -0.21142 |      -0.18133 |     317.54678 |     304.41702 |      38.99726 |    -119.75648 |    4716.89160 |       0.28345 |       1.00000 |    3989.15161 |      38.50000 |    -120.00000 | 
     75.37732 |       1.72533 |       1.72533 |       0.00000 |      22.68048 |      14.68048 |       2.83112 |       0.04628 |       0.17299 |       0.18556 |       0.18556 |       0.05326 |       0.21354 |       0.21354 |      -0.21561 |      -0.21109 |     317.55405 |     304.42429 |      38.99726 |    -119.75648 |    4716.86084 |       0.25257 |       1.00000 |    4096.63281 |      38.50000 |    -120.00000 | 
     75.48129 |       1.82931 |       1.82931 |       0.00000 |      22.68051 |      14.68051 |       2.83114 |       0.04066 |       0.11242 |       0.12059 |       0.12059 |       0.04679 |       0.13877 |       0.13877 |      -0.24113 |      -0.21809 |     317.55939 |     304.42963 |      38.99726 |    -119.75648 |    4716.83545 |       0.22773 |       1.00000 |    4191.49512 |      38.50000 |    -120.00000 | 
     75.58582 |       1.93383 |       1.93383 |       0.00000 |      22.68054 |      14.68054 |       2.83117 |       0.03547 |       0.06870 |       0.07369 |       0.07369 |       0.04082 |       0.08480 |       0.08480 |      -0.28388 |      -0.20271 |     317.56232 |     304.43256 |      38.99726 |    -119.75648 |    4716.82617 |       0.21813 |       1.00000 |    4273.13818 |      38.50000 |    -120.00000 | 
     75.69724 |       2.04526 |       2.04526 |       0.00000 |      22.68057 |      14.68057 |       2.83120 |       0.03048 |       0.12097 |       0.12976 |       0.12976 |       0.03507 |       0.14933 |       0.14933 |      -0.34202 |      -0.16535 |     317.56287 |     304.43311 |      38.99726 |    -119.75648 |    4716.83545 |       0.22737 |       1.00000 |    4347.10547 |      38.50000 |    -120.00000 | 
     75.80218 |       2.15019 |       2.15019 |       0.00000 |      22.68060 |      14.68060 |       2.83123 |       0.02630 |       0.15317 |       0.16430 |       0.16429 |       0.03026 |       0.18907 |       0.18907 |      -0.40076 |      -0.11630 |     317.56149 |     304.43173 |      38.99726 |    -119.75648 |    4716.85498 |       0.24725 |       1.00000 |    4405.91406 |      38.50000 |    -120.00000 | 
     75.90919 |       2.25722 |       2.25722 |       0.00000 |      22.68063 |      14.68063 |       2.83126 |       0.02253 |       0.14037 |       0.15056 |       0.15056 |       0.02593 |       0.17327 |       0.17327 |      -0.45574 |      -0.05950 |     317.55853 |     304.42877 |      38.99726 |    -119.75648 |    4716.87549 |       0.26740 |       1.00000 |    4456.72900 |      38.50000 |    -120.00000 | 
     76.01801 |       2.36602 |       2.36602 |       0.00000 |      22.68066 |      14.68066 |       2.83129 |       0.01917 |       0.10273 |       0.11019 |       0.11019 |       0.02207 |       0.12681 |       0.12681 |      -0.49855 |      -0.00256 |     317.55444 |     304.42468 |      38.99726 |    -119.75648 |    4716.88721 |       0.27907 |       1.00000 |    4500.22266 |      38.50000 |    -120.00000 | 
     76.11573 |       2.46375 |       2.46375 |       0.00000 |      22.68069 |      14.68068 |       2.83132 |       0.01655 |       0.08401 |       0.09011 |       0.09011 |       0.01904 |       0.10370 |       0.10370 |      -0.52114 |       0.04205 |     317.55042 |     304.42065 |      38.99726 |    -119.75648 |    4716.88721 |       0.27919 |       1.00000 |    4533.20850 |      38.50000 |    -120.00000 | 
     76.22404 |       2.57205 |       2.57205 |       0.00000 |      22.68071 |      14.68071 |       2.83135 |       0.01401 |       0.08825 |       0.09466 |       0.09466 |       0.01612 |       0.10894 |       0.10894 |      -0.52676 |       0.07919 |     317.54605 |     304.41629 |      38.99726 |    -119.75648 |    4716.87695 |       0.26870 |       1.00000 |    4564.18701 |      38.50000 |    -120.00000 | 
     76.33618 |       2.68420 |       2.68420 |       0.00000 |      22.68075 |      14.68075 |       2.83138 |       0.01175 |       0.08197 |       0.08792 |       0.08792 |       0.01352 |       0.10118 |       0.10118 |      -0.51339 |       0.10064 |     317.54205 |     304.41229 |      38.99726 |    -119.75648 |    4716.86133 |       0.25325 |       1.00000 |    4590.95410 |      38.50000 |    -120.00000 | 
     76.44896 |       2.79698 |       2.79698 |       0.00000 |      22.68078 |      14.68078 |       2.83141 |       0.00982 |       0.05570 |       0.05975 |       0.05975 |       0.01130 |       0.06876 |       0.06876 |      -0.48605 |       0.10372 |     317.53894 |     304.40918 |      38.99726 |    -119.75648 |    4716.84912 |       0.24075 |       1.00000 |    4613.27295 |      38.50000 |    -120.00000 | 
     76.55287 |       2.90089 |       2.90089 |       0.00000 |      22.68081 |      14.68081 |       2.83144 |       0.00831 |       0.03893 |       0.04176 |       0.04176 |       0.00956 |       0.04806 |       0.04806 |      -0.45489 |       0.09100 |     317.53754 |     304.40778 |      38.99726 |    -119.75648 |    4716.84424 |       0.23625 |       1.00000 |    4630.37842 |      38.50000 |    -120.00000 | 
     76.65729 |       3.00530 |       3.00530 |       0.00000 |      22.68084 |      14.68083 |       2.83147 |       0.00701 |       0.05589 |       0.05995 |       0.05995 |       0.00807 |       0.06899 |       0.06899 |      -0.42417 |       0.06574 |     317.53778 |     304.40802 |      38.99726 |    -119.75648 |    4716.84717 |       0.23916 |       1.00000 |    4644.79053 |      38.50000 |    -120.00000 | 
     76.76130 |       3.10932 |       3.10932 |       0.00000 |      22.68086 |      14.68086 |       2.83150 |       0.00591 |       0.07038 |       0.07549 |       0.07549 |       0.00680 |       0.08687 |       0.08687 |      -0.39922 |       0.03228 |     317.53931 |     304.40955 |      38.99726 |    -119.75648 |    4716.85498 |       0.24695 |       1.00000 |    4656.81250 |      38.50000 |    -120.00000 | 
     76.86018 |       3.20819 |       3.20819 |       0.00000 |      22.68089 |      14.68089 |       2.83153 |       0.00502 |       0.06884 |       0.07384 |       0.07384 |       0.00578 |       0.08497 |       0.08497 |      -0.38339 |      -0.00296 |     317.54156 |     304.41180 |      38.99726 |    -119.75648 |    4716.86328 |       0.25530 |       1.00000 |    4666.40479 |      38.50000 |    -120.00000 | 
