Aircraft Type,Wingspan (tip to tip in meters),Source,Strike Distance (Gear to End of Fuesalage),Source,Length of Plane (meters),Source,Height from Ground to bottom,Source (EVERY VALUE EXCEPT BOEING OR AIRBUS IS ESTIMATED),Max Thrust (kN),Source,Empty Weight (KG),Source,MTOW (KG),Source,Max Landing Weight (KG),Source,CG (m from nose),Source
B462,26.34,https://www.skybrary.aero/index.php/B462,13.85,https://www.skybrary.aero/index.php/File:B462_3D.jpg (APPROX),28.6,https://www.skybrary.aero/index.php/B462,1,https://www.skybrary.aero/index.php/B462,31.1,https://en.wikipedia.org/wiki/British_Aerospace_146#Specifications,23820-25640,https://en.wikipedia.org/wiki/British_Aerospace_146#Specifications,38101,https://en.wikipedia.org/wiki/British_Aerospace_146#Specifications,38555,http://www.flugzeuginfo.net/acdata_php/acdata_bae1462_en.php,10.8,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=VdoHXeDYAYXX-gSPnY14&q=b462&oq=b462&gs_l=img.3..35i39l2j0l2j0i5i30j0i30j0i24l4.4362.4362..4486...0.0..0.70.70.1......0....1..gws-wiz-img.awzvNCUj0wQ#imgrc=mbtlP9r6KDsPRM:
B703,44.4,https://www.skybrary.aero/index.php/B703,21.07,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/707.pdf,42.32,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/707.pdf,1.33,https://www.skybrary.aero/index.php/B703,85,https://en.wikipedia.org/wiki/Boeing_707#Specifications,64682,https://en.wikipedia.org/wiki/Boeing_707#Specifications,141520-151318,https://en.wikipedia.org/wiki/Boeing_707#Specifications,97522,http://www.flugzeuginfo.net/acdata_php/acdata_707_en.php,16.41,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=9doHXYmUPJjc-gSRx5nwAg&q=boeing+707+side&oq=boeing+707+side&gs_l=img.3...84622.86315..86489...0.0..0.90.965.15......0....1..gws-wiz-img.......35i39j0i67j0j0i8i30j0i30j0i24.DnIOFF9WblY#imgrc=FKGA-OfkGmNo3M:
B712,28.47,https://www.skybrary.aero/index.php/B712,14.4,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/717.pdf,34.3,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/717.pdf,1.23,https://www.skybrary.aero/index.php/B712,84.2-95.3,https://en.wikipedia.org/wiki/Boeing_717#Specifications,30617-13382,https://en.wikipedia.org/wiki/Boeing_717#Specifications,49895-54884,https://en.wikipedia.org/wiki/Boeing_717#Specifications,46266,http://www.flugzeuginfo.net/acdata_php/acdata_717_en.php,17.93,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=TdsHXbnlIomI0wLezoLwBQ&q=boeing+717+side&oq=boeing+717+side&gs_l=img.3...104823.104952..105222...0.0..0.77.136.2......0....1..gws-wiz-img.8dBGtlB36u4#imgrc=aFpcg5XT5ZlFkM:
B722,32.9,https://www.skybrary.aero/index.php/B722,14.58,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/727.pdf,35.41,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/727.pdf,0.99,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/727.pdf,62-77,https://en.wikipedia.org/wiki/Boeing_727#Specifications,44330,https://en.wikipedia.org/wiki/Boeing_727#Specifications,78100,https://en.wikipedia.org/wiki/Boeing_727#Specifications,70100,http://www.flugzeuginfo.net/acdata_php/acdata_727_en.php,17.4,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=uNsHXfLgA4KP0gKMorBY&q=boeing+727+side&oq=boeing+727+side&gs_l=img.3...149144.149329..149479...0.0..0.74.144.2......0....1..gws-wiz-img.UducFbD9Irc#imgrc=uxTM7b-hggZLXM:
B732,28.35,https://www.skybrary.aero/index.php/B732,14.2,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,29.54,https://www.skybrary.aero/index.php/B732,1.07,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,64-73,https://en.wikipedia.org/wiki/Boeing_737#Specifications,29600,https://en.wikipedia.org/wiki/Boeing_737#Specifications,58100,https://en.wikipedia.org/wiki/Boeing_737#Specifications,44452-46720,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,13.39,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=-dwHXba3NNiv-gSz76ngDA&q=boeing+737+200+side+view&oq=boeing+737+200+side+view&gs_l=img.3...28809.29446..29618...0.0..0.101.308.3j1......0....1..gws-wiz-img.CYXoknwuHLQ#imgrc=ndbl-qf00dwPBM:
B733,28.9,https://www.skybrary.aero/index.php/B733,15.72,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,32.18,https://www.skybrary.aero/index.php/B733,1.02,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-105,https://en.wikipedia.org/wiki/Boeing_737#Specifications,31950-34820,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"60,600–68,000",https://en.wikipedia.org/wiki/Boeing_737#Specifications,54885-56245,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,15.46,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=GN0HXcubK8-c-gTbqafoAg&q=boeing+737+300+side+view&oq=boeing+737+300+side+view&gs_l=img.3...127258.127348..127518...0.0..0.65.130.2......0....1..gws-wiz-img.wy9lkM_M4tw#imgrc=ppqbObr7aK_u9M:
B734,28.9,https://www.skybrary.aero/index.php/B734,16.95,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,35.23,https://www.skybrary.aero/index.php/B734,1.02,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-105,https://en.wikipedia.org/wiki/Boeing_737#Specifications,31950-34820,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"60,600–68,000",https://en.wikipedia.org/wiki/Boeing_737#Specifications,54885-56245,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,15.52,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=md0HXefCG8bL-gSV7rGgAg&q=boeing+737+400+side+view&oq=boeing+737+400+side+view&gs_l=img.3...205579.205756..205908...0.0..0.64.121.2......0....1..gws-wiz-img.lApZ2P8FUo4#imgrc=w66bCTQSOR1UqM:
B735,28.8,https://www.skybrary.aero/index.php/B735,14.63,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,29.79,https://www.skybrary.aero/index.php/B735,1.02,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-105,https://en.wikipedia.org/wiki/Boeing_737#Specifications,31950-34820,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"60,600–68,000",https://en.wikipedia.org/wiki/Boeing_737#Specifications,54658-55111,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,13.29,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=aN4HXbT0J8z1-gTQs7WoBA&q=boeing+737+500+side+view&oq=boeing+737+500+side+view&gs_l=img.3...134669.134913..135062...0.0..0.60.115.2......0....1..gws-wiz-img.37k210dAztU#imgrc=6BBQ_MhpCDx5uM:
B736,34.3,https://www.skybrary.aero/index.php/B736,14.47,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,29.79,https://www.skybrary.aero/index.php/B736,1.2,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-120,https://en.wikipedia.org/wiki/Boeing_737#Specifications,36378-44677,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"65,500–85,100",https://en.wikipedia.org/wiki/Boeing_737#Specifications,58604,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,12.85,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=8d4HXaPhB8_i-gS-_b-4DQ&q=boeing+737+600+side+view&oq=boeing+737+600+side+view&gs_l=img.3...346496.346628..346838...0.0..0.74.134.2......0....1..gws-wiz-img.PbDzqq8yEh4#imgrc=KAfYedWJcuhWHM:
B737,34.3,https://www.skybrary.aero/index.php/B737,15.49,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,32.18,https://www.skybrary.aero/index.php/B737,1.2,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-120,https://en.wikipedia.org/wiki/Boeing_737#Specifications,36378-44677,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"65,500–85,100",https://en.wikipedia.org/wiki/Boeing_737#Specifications,65317-66361,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,13.87,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=TeAHXeDJEojL-gT_2o_ABQ&q=boeing+737+700+side+view&oq=boeing+737+700+side+view&gs_l=img.3...155685.155932..156111...0.0..0.88.148.2......0....1..gws-wiz-img.ob3T1PqO30s#imgrc=1aOzqFcO_F7MWM:
B738,34.32,https://www.skybrary.aero/index.php/B738,18.33,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,38.02,https://www.skybrary.aero/index.php/B738,1.23,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-120,https://en.wikipedia.org/wiki/Boeing_737#Specifications,36378-44677,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"65,500–85,100",https://en.wikipedia.org/wiki/Boeing_737#Specifications,66814,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,17.02,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=6uAHXZqPM9bn-gSH-5vAAw&q=boeing+737+800+side+view&oq=boeing+737+800+side+view&gs_l=img.3..0i30.185930.186225..186333...0.0..0.77.147.2......0....1..gws-wiz-img.jU9j3UDP5_I#imgrc=Wn5Mmjc6txqXxM:
B739,34.3,https://www.skybrary.aero/index.php/B739,19.41,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,40.67,https://www.skybrary.aero/index.php/B739,1.23,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,89-120,https://en.wikipedia.org/wiki/Boeing_737#Specifications,36378-44677,https://en.wikipedia.org/wiki/Boeing_737#Specifications,"65,500–85,100",https://en.wikipedia.org/wiki/Boeing_737#Specifications,66361-71350,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/737.pdf,18.3,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=puEHXZ67Jc3n-wStzKbIBA&q=boeing+737+900+side+view&oq=boeing+737+900+side+view&gs_l=img.3...149159.149605..149707...0.0..0.84.149.2......0....1..gws-wiz-img.EG3XEBTnO30#imgrc=TJDWRprD6CvpPM:
B742,59.6,https://www.skybrary.aero/index.php/B742,35.23,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_123sp.pdf,68.6,https://www.skybrary.aero/index.php/B742,1.88,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_123sp.pdf,206-243.5,https://en.wikipedia.org/wiki/Boeing_747,170142,https://en.wikipedia.org/wiki/Boeing_747,377842,https://en.wikipedia.org/wiki/Boeing_747,255800-285700,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_123sp.pdf,27.83,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=PeIHXdLHLNjn-wSWq4uQAw&q=boeing+747+200+side+view&oq=boeing+747+200+side+view&gs_l=img.3...612644.613839..614105...0.0..0.69.439.7......0....1..gws-wiz-img.......0i7i30j0.ZZF8lG6UkR4#imgrc=ou4GD76tDAQXSM:
B743,59.6,https://www.skybrary.aero/index.php/B743,35.23,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_123sp.pdf,68.6,https://www.skybrary.aero/index.php/B743,1.88,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_123sp.pdf,206-253,https://en.wikipedia.org/wiki/Boeing_747,174179,https://en.wikipedia.org/wiki/Boeing_747,377842,https://en.wikipedia.org/wiki/Boeing_747,233560-255800,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_123sp.pdf,28.66,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=peQHXf-nD8iq0gKHvaaACA&q=boeing+747+300+side+view&oq=boeing+747+300+side+view&gs_l=img.3...138628.138831..139014...0.0..0.69.129.2......0....1..gws-wiz-img.zr1KwQaUbhg#imgrc=r3c6U33py3AivM:
B744,64.4,https://www.skybrary.aero/index.php/B744,35.28,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_4.pdf,68.63,https://www.skybrary.aero/index.php/B744,2.42,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_4.pdf,276-282,https://en.wikipedia.org/wiki/Boeing_747,187016,https://en.wikipedia.org/wiki/Boeing_747,412769,https://en.wikipedia.org/wiki/Boeing_747,260362-285764,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/747_4.pdf,25.27,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=MeUHXb6SIsao0gLqi5cg&q=boeing+747+400+side+view&oq=boeing+747+400+side+view&gs_l=img.3...74923.75068..75366...0.0..0.78.151.2......0....1..gws-wiz-img.w7KKL_kYbfY#imgrc=IgIYxroKSp3LUM:
B752,38.1,https://www.skybrary.aero/index.php/B752,22.79,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/757_23.pdf,46.97,https://www.skybrary.aero/index.php/B752,2.24,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/757_23.pdf,163-193,https://en.wikipedia.org/wiki/Boeing_757#Specifications,58440,https://en.wikipedia.org/wiki/Boeing_757#Specifications,115660,https://en.wikipedia.org/wiki/Boeing_757#Specifications,89800-95250,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/757_23.pdf,21.18,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=fuUHXdbLFo38-gT9-IWoAw&q=boeing+757+200+side+view&oq=boeing+757+200+side+view&gs_l=img.3...79545.80727..80986...0.0..0.70.381.6......0....1..gws-wiz-img.2lJsOyxySbw#imgrc=bGd4QoNmPDuqeM:
B753,38.1,https://www.skybrary.aero/index.php/B753,25.84,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/757_23.pdf,54.08,https://www.skybrary.aero/index.php/B753,2.5,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/757_23.pdf,163-193,https://en.wikipedia.org/wiki/Boeing_757#Specifications,64340,https://en.wikipedia.org/wiki/Boeing_757#Specifications,123830,https://en.wikipedia.org/wiki/Boeing_757#Specifications,101610,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/757_23.pdf,24.11,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=0OUHXabaK9PF-gSFqLPgDg&q=boeing+757+300+side+view&oq=boeing+757+300+side+view&gs_l=img.3...86971.87140..87270...0.0..0.67.130.2......0....1..gws-wiz-img.0eMka3FyVlA#imgrc=tqhEmRJ34IQBwM:
B762,47.6,https://www.skybrary.aero/index.php/B762,24.26,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,48.5,https://www.skybrary.aero/index.php/B762,2.06,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,214-270,https://en.wikipedia.org/wiki/Boeing_767#Specifications,80127,https://en.wikipedia.org/wiki/Boeing_767#Specifications,142882,https://en.wikipedia.org/wiki/Boeing_767#Specifications,116573-122470,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,19.4,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=KeYHXZrbFMLX0gL4n4W4BA&q=boeing+767+200+side+view&oq=boeing+767+200+side+view&gs_l=img.3...102607.103732..103946...0.0..0.83.527.8......0....1..gws-wiz-img.......0i7i30j0.-5-Aw2_MzwI#imgrc=o8mBPAhl-t_RTM:
B763,47.6,https://www.skybrary.aero/index.php/B763,27.59,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,54.9,https://www.skybrary.aero/index.php/B763,2.08,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,214-274,https://en.wikipedia.org/wiki/Boeing_767#Specifications,86069,https://en.wikipedia.org/wiki/Boeing_767#Specifications,158758,https://en.wikipedia.org/wiki/Boeing_767#Specifications,136078,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,24.55,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=kuYHXdnfLoP3-gShgaPwBA&q=boeing+767+300+side+view&oq=boeing+767+300+side+view&gs_l=img.3...168273.168419..168538...0.0..0.71.139.2......0....1..gws-wiz-img.4Wm0C7sp8_U#imgrc=wEPHNZ7rb573AM:
B764,51.9,https://www.skybrary.aero/index.php/B764,29.32,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,60.08,https://www.skybrary.aero/index.php/B764,1.81,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,270,https://en.wikipedia.org/wiki/Boeing_767#Specifications,103872,https://en.wikipedia.org/wiki/Boeing_767#Specifications,204116,https://en.wikipedia.org/wiki/Boeing_767#Specifications,158757,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/767.pdf,26.75,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=POcHXfy1L8Lb-wSCy7-wDQ&q=boeing+767+400+side+view&oq=boeing+767+400+side+view&gs_l=img.3...206895.207111..207272...0.0..0.67.131.2......0....1..gws-wiz-img.g60ou_Xhiko#imgrc=-zrauXCZMrxipM:
B772,60.9,https://www.skybrary.aero/index.php/B772,31.17,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_23.pdf,62.94,https://www.skybrary.aero/index.php/B772,2.81,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_23.pdf,343-417,https://en.wikipedia.org/wiki/Boeing_777#Specifications,135850,https://en.wikipedia.org/wiki/Boeing_777#Specifications,247200,https://en.wikipedia.org/wiki/Boeing_777#Specifications,200050-208700,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_23.pdf,26.64,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=DegHXY_PFoPz-gS0gaj4Cw&q=boeing+777+200+side+view&oq=boeing+777+200+side+view&gs_l=img.3...134866.135803..136063...0.0..0.82.421.6......0....1..gws-wiz-img.......0i7i30j0.oe_0VKrdtJQ#imgrc=iWVixoes73mCdM:
B773,60.9,https://www.skybrary.aero/index.php/B773,35.97,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_23.pdf,73.08,https://www.skybrary.aero/index.php/B773,2.81,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_23.pdf,440,https://en.wikipedia.org/wiki/Boeing_777#Specifications,160530,https://en.wikipedia.org/wiki/Boeing_777#Specifications,299370,https://en.wikipedia.org/wiki/Boeing_777#Specifications,237680,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_23.pdf,33.79,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=lugHXcW6Mtjz-gTasZ-wBw&q=boeing+777+300+side+view&oq=boeing+777+300+side+view&gs_l=img.3...103250.103438..103601...0.0..0.68.126.2......0....1..gws-wiz-img.nJow8bdRGoc#imgrc=oej74f5j5_1ClM:
B77L,60.9,https://www.skybrary.aero/index.php/B77L,31.16,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_2lr3er.pdf,62.94,https://www.skybrary.aero/index.php/B77L,2.7,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_2lr3er.pdf,513,https://en.wikipedia.org/wiki/Boeing_777#Specifications,145150,https://en.wikipedia.org/wiki/Boeing_777#Specifications,347452,https://en.wikipedia.org/wiki/Boeing_777#Specifications,223168,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_2lr3er.pdf,26.44,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=_-gHXYmDMYby-gTwlZj4Cw&q=boeing+777+200LR+side+view&oq=boeing+777+200LR+side+view&gs_l=img.3...312212.312840..312959...0.0..0.67.312.5......0....1..gws-wiz-img.......35i39.2QRTWqvO9To#imgrc=vpw7bQYTMBCy8M:
B77W,64.8,https://www.skybrary.aero/index.php/B77W,35.97,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_2lr3er.pdf,73.08,https://www.skybrary.aero/index.php/B77W,2.88,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_2lr3er.pdf,513,https://en.wikipedia.org/wiki/Boeing_777#Specifications,167829,https://en.wikipedia.org/wiki/Boeing_777#Specifications,351533,https://en.wikipedia.org/wiki/Boeing_777#Specifications,251290,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/777_2lr3er.pdf,30.02,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=OuoHXcLrCM7q-gSjk7qQDA&q=boeing+777+300ER+side+view&oq=boeing+777+300ER+side+view&gs_l=img.3..35i39j0i7i30.89351.89893..89951...0.0..0.86.282.4......0....1..gws-wiz-img.JLKG4SyNxn4#imgrc=xPaN8B8LVJgDlM:
BA11,28.5,https://www.skybrary.aero/index.php/BA11,13.18,https://www.google.com/search?q=bac+111+dimensions&rlz=1C1CHBF_enUS850US850&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjP9YHZgrDiAhWC3lQKHRwCD8kQ_AUIDigB&biw=1920&bih=989#imgdii=6p63EuQdjQY1lM:&imgrc=H8N9WL5jMqvvUM: (APPROX),32.61,https://www.skybrary.aero/index.php/BA11,0.84,https://www.skybrary.aero/index.php/BA11,55.8,https://en.wikipedia.org/wiki/BAC_One-Eleven#Specifications,21007-24758,https://en.wikipedia.org/wiki/BAC_One-Eleven#Specifications,35600-47400,https://en.wikipedia.org/wiki/BAC_One-Eleven#Specifications,31000-39000,https://en.wikipedia.org/wiki/BAC_One-Eleven#Specifications,21.1,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=ROsHXaheg_36BPD_vpAF&q=british+aerospace+111+&oq=british+aerospace+111+&gs_l=img.3...9968.9968..10032...0.0..0.0.0.......0....1..gws-wiz-img.corK19naocQ#imgrc=THoticpWHii0jM:
BE20,16.6,https://www.skybrary.aero/index.php/BE20,7.75,https://www.google.com/search?q=BE20+dimensions&rlz=1C1CHBF_enUS850US850&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiMg9W8g7DiAhUJrFQKHeMvA_UQ_AUIDigB&biw=1920&bih=989#imgrc=ojjU3C3kaH0yfM: (APPROX),13.4,https://www.skybrary.aero/index.php/BE20,0.87,https://www.skybrary.aero/index.php/BE20,625-783,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air#Specifications,4005-4289,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air#Specifications,6087-7484,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air#Specifications,5669,https://www.aopa.org/go-fly/aircraft-and-ownership/aircraft-fact-sheets/beechcraft-super-king-air-200,4.79,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=vOsHXZSTKI3B-gTJnrSIDA&q=beechcraft+super+king+iar&oq=beechcraft+super+king+iar&gs_l=img.3...14096.17338..17440...0.0..1.143.1842.24j1......0....1..gws-wiz-img.......35i39j0i67j0j0i24j0i8i30.WM-at8sLW8E#imgrc=jgmm7ZuZgvswhM:
BE58,11.5,https://www.skybrary.aero/index.php/BE58,5.36,https://www.skybrary.aero/index.php/File:BE58_3D.jpg (APPROX),9.1,https://www.skybrary.aero/index.php/BE58,0.32,https://www.skybrary.aero/index.php/BE58,380 kW,https://en.wikipedia.org/wiki/Beechcraft_Baron#Specifications_(B55),1432,https://en.wikipedia.org/wiki/Beechcraft_Baron#Specifications_(B55),2313,https://en.wikipedia.org/wiki/Beechcraft_Baron#Specifications_(B55),2449,https://www.globalair.com/aircraft-for-sale/Specifications?specid=9,3.91,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=z-sHXYGLEpH6-gS6zrCQBA&q=beechcraft+baron&oq=beechcraft+baron&gs_l=img.3..0l10.78226.78651..78911...0.0..0.113.360.4j1......0....1..gws-wiz-img.TwenTByrzNE#imgrc=sJ7n4Q98e8kiyM:
BE99,14,https://www.skybrary.aero/index.php/BE99,7.41,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1920&bih=989&tbm=isch&sa=1&ei=0bjlXLTIFIfh0gKK14nABQ&q=beechcraft+99+dimensions&oq=beechcraft+99+dimensions&gs_l=img.3...28746.36097..36204...2.0..0.95.1780.26......0....1..gws-wiz-img.......35i39j0i67j0j0i10i24j0i30j0i5i30j0i8i30j0i24.-tkXeI3PNOw#imgrc=sbW_c4AmLQCi4M: (APPROX),13.6,https://www.skybrary.aero/index.php/BE99,0.89,https://www.skybrary.aero/index.php/BE99,410 kW-533 kW,https://en.wikipedia.org/wiki/Beechcraft_Model_99#Specifications_(Model_99A),2515,https://en.wikipedia.org/wiki/Beechcraft_Model_99#Specifications_(Model_99A),4727,https://en.wikipedia.org/wiki/Beechcraft_Model_99#Specifications_(Model_99A),7047,https://prijet.com/performance/Beechcraft%20B99-C99,5.18,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=H-wHXdeKIsXn-gSh047ICQ&q=beechcraft+model+99&oq=beechcraft+model+99&gs_l=img.3..0j0i24.126648.127404..127720...0.0..0.72.534.8......0....1..gws-wiz-img.......0i8i30.HTKPpzbmPjU#imgrc=sbW_c4AmLQCi4M:
BE9L,15.3,https://www.skybrary.aero/index.php/BE9L,6.27,https://www.skybrary.aero/index.php/File:BE9L_3D.jpg (APPROX),10.8,https://www.skybrary.aero/index.php/BE9L,0.79,https://www.skybrary.aero/index.php/BE9L,410 kW-533 kW,https://en.wikipedia.org/wiki/Beechcraft_King_Air#Specifications,3150-3212,https://en.wikipedia.org/wiki/Beechcraft_King_Air#Specifications,4580-5352,https://en.wikipedia.org/wiki/Beechcraft_King_Air#Specifications,6804,https://beechcraft.txtav.com/en/king-air-350i,3.93,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=oOwHXdrBLM3U-gSFuJK4Cw&q=beechcraft+king+air&oq=beechcraft+king+air&gs_l=img.3..0l10.115568.116520..116653...0.0..0.97.559.8......0....1..gws-wiz-img.p43l-zIFxlw#imgrc=FZiIt27hLPjeNM:
