Aircraft Type,Wingspan (tip to tip in meters),Source,Strike Distance (Gear to End of Fuesalage),Source,Length of Plane (meters),Source,Height from Ground to bottom,Source (EVERY VALUE EXCEPT BOEING OR AIRBUS IS ESTIMATED),Max Thrust (kN),Source,Empty Weight (KG),Source,MTOW (KG),Source,Max Landing Weight (KG),Source,CG (m from nose),Source
A342,58,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,28.66,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-200-300.pdf,58.57,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-200.html,1.83,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-200-300.pdf,138.78-151.24,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,117934,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,274876,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,181000-185000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-200-300.pdf,24.48,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=4s8HXYXUGKut0PEP57mToAQ&q=airbus+a340+200&oq=airbus+a340+200&gs_l=img.3..0j0i5i30j0i30j0i24.213145.213689..213847...0.0..0.70.374.6......0....1..gws-wiz-img.stU1eOGhP60#imgrc=fhG3kzB058YfMM:
A343,58,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,30.79,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-200-300.pdf,62.84,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-300.html,1.84,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-200-300.pdf,138.78-151.24,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,131088,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,276691,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,186000-188000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-200-300.pdf,26.33,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=udAHXbrxKaTL0PEPlPmkiAM&q=airbus+a340+300&oq=airbus+a340+300&gs_l=img.3..0l5j0i30l5.306630.306874..307017...0.0..0.66.128.2......0....1..gws-wiz-img.9TEDZMk9cnE#imgrc=x765rdm5ImiEwM:
A345,61.2,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,31.87,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-500_600.pdf,66.03,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-500.html,1.94,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-500_600.pdf,248.12-275.35,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,167829,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,381017,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,231000-246000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-500_600.pdf,26.64,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=7dEHXaq3POPs9APEgorQBQ&q=airbus+a340+500&oq=airbus+a340+500&gs_l=img.3..0j0i30l9.179020.179176..179343...0.0..0.64.125.2......0....1..gws-wiz-img.n7HGyspl3Fs#imgrc=Akol1wBTE4w1QM:
A346,61.2,https://booksite.elsevier.com/9780340741528/appendices/data-a/table-1/table.htm,34,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-500_600.pdf,73.46,https://www.airbus.com/aircraft/previous-generation-aircraft/a340-family/a340-600.html,1.99,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-500_600.pdf,248.12-275.35,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,174179,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,381017,https://en.wikipedia.org/wiki/Airbus_A340#Specifications,259000-265000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-A340-500_600.pdf,32.22,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=otIHXfeUJuPi9AOM35D4Bw&q=airbus+a340+600&oq=airbus+a340+600&gs_l=img.3..0l3j0i30l7.238530.238939..239380...0.0..0.72.135.2......0....1..gws-wiz-img.ZZk8pXCsG1k#imgrc=-fELjpQgbNgLhM:
A388,79.8,http://www.modernairliners.com/airbus-a380/airbus-a380-specs/,33.55,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Aircraft-AC-A380.pdf,70.4,http://www.modernairliners.com/airbus-a380/airbus-a380-specs/,2.34,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Aircraft-AC-A380.pdf,332.44-356.81,https://en.wikipedia.org/wiki/Airbus_A380#Specifications,277144,https://en.wikipedia.org/wiki/Airbus_A380#Specifications,575155,https://en.wikipedia.org/wiki/Airbus_A380#Specifications,386000-395000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Aircraft-AC-A380.pdf,26.91,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=k9MHXbjkDemt0PEPmLm98AY&q=airbus+a380+800&oq=airbus+a380+800&gs_l=img.3..0l10.246957.247683..247963...0.0..0.73.376.6......0....1..gws-wiz-img.......0i67.CJcFo7RfMek#imgrc=rncoKln_KJ72PM:
A3ST,44.8,https://www.skybrary.aero/index.php/A3ST,30.8,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-BelugaXL.pdf,61.2,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-BelugaXL.pdf,1.94,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-BelugaXL.pdf,257.4,https://en.wikipedia.org/wiki/Airbus_Beluga#Specifications_(A300-600ST),86499,https://en.wikipedia.org/wiki/Airbus_Beluga#Specifications_(A300-600ST),154998,https://en.wikipedia.org/wiki/Airbus_Beluga#Specifications_(A300-600ST),187000,https://www.airbus.com/content/dam/corporate-topics/publications/backgrounders/techdata/aircraft_characteristics/Airbus-Commercial-Aircraft-AC-BelugaXL.pdf,24.48,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=itUHXa3MI-iH0wLm766wDg&q=airbus+super+transporter+side+view&oq=airbus+super+transporter+side+view&gs_l=img.3...129382.131647..131774...0.0..0.97.663.10......0....1..gws-wiz-img.......0i30j0i8i30.vGdFsnMtnE8#imgrc=Ph-s9aw8H48gWM:
AT43,24.6,https://www.skybrary.aero/index.php/AT43,12.49,https://en.wikipedia.org/wiki/ATR_42#/media/File:ATRv1.0.png (APPROX),22.7,https://www.skybrary.aero/index.php/AT43,0.76,https://www.skybrary.aero/index.php/AT43,1300 kW-1400 kW,https://en.wikipedia.org/wiki/ATR_42#Specifications,10285,https://en.wikipedia.org/wiki/ATR_42#Specifications,16900,https://en.wikipedia.org/wiki/ATR_42#Specifications,16400,https://prijet.com/performance/ATR%2042-300,9.58,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=D9YHXcWnNdS60PEPpJyd8AU&q=atr+42+300&oq=atr+42+300&gs_l=img.3..0l2j0i30l2j0i5i30l2.146691.148533..148767...0.0..0.133.803.9j1......0....1..gws-wiz-img.......35i39j0i67.j3Erk4HpMRk#imgrc=s93GUNcCyHNr_M:
AT45,24.6,https://www.skybrary.aero/index.php/AT45,12.22,https://www.skybrary.aero/index.php/File:AT45_3D.jpg (APPROX),22.7,https://www.skybrary.aero/index.php/AT45,0.75,https://www.skybrary.aero/index.php/AT43,1610 kW,https://en.wikipedia.org/wiki/ATR_42#Specifications,11550,https://en.wikipedia.org/wiki/ATR_42#Specifications,18600,https://en.wikipedia.org/wiki/ATR_42#Specifications,18300,https://prijet.com/performance/ATR%2042-500,9.22,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=pdYHXYrYPLG20PEPo8ug2AQ&q=atr+42+500&oq=atr+42+500&gs_l=img.3..0j0i30l4j0i5i30j0i30l4.196541.196674..196823...0.0..0.64.127.2......0....1..gws-wiz-img.vJiUVA8rmPg#imgrc=udz7GjN01LukCM:
AT72,27.1,https://www.skybrary.aero/index.php/AT72,14.66,https://www.skybrary.aero/index.php/File:AT72_3D.jpg (APPROX),27.2,https://www.skybrary.aero/index.php/AT72,0.74,https://www.skybrary.aero/index.php/AT72,1846 kW,https://en.wikipedia.org/wiki/ATR_72#Specifications_(ATR_72–600),13500,https://en.wikipedia.org/wiki/ATR_72#Specifications_(ATR_72–600),23000,https://en.wikipedia.org/wiki/ATR_72#Specifications_(ATR_72–600),22349,https://prijet.com/performance/ATR%2072-500,12.21,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=bNcHXaX9G4eN0wLKub7ABw&q=atr+72&oq=atr+72&gs_l=img.3..0i67l2j0l8.211388.211528..211756...0.0..0.72.132.2......0....1..gws-wiz-img.3jNSkgU3A8g#imgrc=25JCyPPSf1EU2M:
ATP,30.63,https://www.skybrary.aero/index.php/ATP,13,https://www.skybrary.aero/index.php/File:ATP_3D.jpg (APPROX),26,https://www.skybrary.aero/index.php/ATP,1.31,https://www.skybrary.aero/index.php/ATP,1978 kW,https://en.wikipedia.org/wiki/British_Aerospace_ATP#Specifications,13595,https://en.wikipedia.org/wiki/British_Aerospace_ATP#Specifications,22930,https://en.wikipedia.org/wiki/British_Aerospace_ATP#Specifications,23133,http://www.flugzeuginfo.net/acdata_php/acdata_atp_en.php,11.25,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=QNkHXdTfJ4vh0gLdv5KoDA&q=british+aerospace+atp+side+view&oq=british+aerospace+atp+side+view&gs_l=img.3...129040.130418..130526...0.0..0.78.640.10......0....1..gws-wiz-img.......0i30.kGKGe4BmwRE#imgrc=suGluPX0wz4gkM:
