airport,runway,procedure_names,operation
KMEM,RW36L,"AUTMN4,AZONE5,BBKNG5,BINKY4,CHLDR4,CRSON5,DUCKZ4,GENEH5,GMBUD5,GOETZ5,GRRIZ4,HOTRD4,JTEEE4,NIKEI4,OLEMS4,PIEPE4,SELPH5,ZUMIT4",departure
KMCO,RW17L,"BAIRN4,BITHO7,COSTR3,LEESE2",arrival
KMCO,RW18R,"BAIRN4,BITHO7,COSTR3,LEESE2",arrival
KMCO,RW17R,JAG6,departure
KMCO,RW18L,JAG6,departure
KLGA,RW22,"HAARP3,NOBBI5",arrival
KLGA,RW13,"GLDMN5,NTHNS4,TNNIS6",departure
KLAX,RW24R,"HUULL2,IRNMN2,RYDRR2",arrival
KLAX,RW25L,"BAYST1,DIRBY1,GOATZ1,HLYWD1,OLAAA1,SNSTT2",arrival
KLAX,RW25R,"DARRK2,DOTSS2,LADYJ4,MUELR4,ORCKA3,OSHNN8,PNDAH2,SKWRL2,SUMMR1,ZILLI4",departure
KLAX,RW24L,"DARRK2,DOTSS2,LADYJ4,MUELR4,ORCKA3,OSHNN8,PNDAH2,SKWRL2,SUMMR1,ZILLI4",departure
KIAH,RW26L,"DOOBI2,GESNR1,HTOWN2",arrival
KIAH,RW26R,"DOOBI2,GESNR1,HTOWN2",arrival
KIAH,RW27,"DOOBI2,GESNR1,HTOWN2",arrival
KIAH,RW15L,"BNDTO5,FLYZA5,GUMBY3,HOODO5,MMUGS4,PITZZ4,RITAA5,NGP7",departure
KIAH,RW15R,"BNDTO5,FLYZA5,GUMBY3,HOODO5,MMUGS4,PITZZ4,RITAA5,NGP7",departure
KIAD,RW19L,"CAVLR3,DOCCS2,LEGGO4,DELRO4",arrival
KIAD,RW19C,"CAVLR3,DOCCS2,LEGGO4,DELRO4",arrival
KIAD,RW19L,"BUNZZ3,MCRAY2,RNLDI4,WOOLY1",departure
KIAD,RW19C,"BUNZZ3,MCRAY2,RNLDI4,WOOLY1",departure
KIAD,RW1C,"JCOBY3,JERES2,BUNZZ3,MCRAY2,RNLDI4,WOOLY1",departure
KIAD,RW19R,"BUNZZ3,MCRAY2,RNLDI4,WOOLY1",departure
KIAD,RW1R,"JCOBY3,JERES2,BUNZZ3,MCRAY2,RNLDI4,WOOLY1",departure
KDFW,RW31R,"BRDJE3,CABBY2,FINGR5,FORNY2,PAWLZ3,SOCKK3,TILLA3,WHINY4",arrival
KDFW,RW13R,"BEREE1,BOOVE4,CAINE2,DAWGZ2,SEEVR4,SHAAM2",arrival
KDFW,RW17L,"BEREE1,BOOVE4,CAINE2,DAWGZ2,SEEVR4,SHAAM2",arrival
KDFW,RW17C,"BEREE1,BOOVE4,CAINE2,DAWGZ2,SEEVR4,SHAAM2",arrival
KDFW,RW17R,"BEREE1,BOOVE4,CAINE2,DAWGZ2,SEEVR4,SHAAM2",arrival
KDFW,RW18L,"BEREE1,BOOVE4,CAINE2,DAWGZ2,SEEVR4,SHAAM2",arrival
KDFW,RW18R,"BEREE1,BOOVE4,CAINE2,DAWGZ2,SEEVR4,SHAAM2",arrival
KDFW,RW36L,"BRDJE3,CABBY2,FINGR5,FORNY2,PAWLZ3,SOCKK3,TILLA3,WHINY4",arrival
KDFW,RW36R,"BRDJE3,CABBY2,FINGR5,FORNY2,PAWLZ3,SOCKK3,TILLA3,WHINY4",arrival
KDFW,RW35L,"BRDJE3,CABBY2,FINGR5,FORNY2,PAWLZ3,SOCKK3,TILLA3,WHINY4",arrival
KDFW,RW35R,"BRDJE3,CABBY2,FINGR5,FORNY2,PAWLZ3,SOCKK3,TILLA3,WHINY4",arrival
KDFW,RW35C,"BRDJE3,CABBY2,FINGR5,FORNY2,PAWLZ3,SOCKK3,TILLA3,WHINY4",arrival
KDFW,RW31R,"WYLIE9,CYOTE9,KING4,KUSSO5,SWABR5",departure
KDFW,RW13R,"WYLIE9,CYOTE9,KING4,KUSSO5,SWABR5",departure
