airport,runway,procedure_names,operation
KORD,RW10R,"BDF7,ERNNY4,OXI7,MADII3,SHAIN1",arrival
KORD,RW22L,----,departure
KHPN,RW16,"RICED4,NOBBI5",arrival
KHPN,RW34,RICED4,arrival
KHPN,RW34,HPN7,departure
KHPN,RW16,"HPN7,PROP1",departure
KHPN,RW29,HPN7,departure
KHPN,RW11,HPN7,departure
KISP,RW24,"NELIE3,LOVES2",arrival
KISP,RW06,"NELIE3,LOVES2",arrival
KISP,RW15L,LONGI5,departure
KISP,RW33R,LONGI5,departure
KISP,RW10,LONGI5,departure
KISP,RW28,LONGI5,departure
KISP,RW15R,LONGI5,departure
KISP,RW33L,LONGI5,departure
KISP,RW24,LONGI5,departure
KISP,RW06,LONGI5,departure
KJAX,RW08,"HOTAR1,OHDEA1,TEBOW1",arrival
KJAX,RW14,"HOTAR1,OHDEA1,TEBOW1",arrival
KJAX,RW26,"HOTAR1,OHDEA1,POGIE1,TEBOW1",arrival
KJAX,RW26,"ARNEY2,CROSB2,EXBOX2,JETIN2",departure
KJAX,RW14,"ARNEY2,CROSB2,EXBOX2,JETIN2",departure
KJAX,RW08,"ARNEY2,CROSB2,EXBOX2,JETIN2",departure
KJAX,RW32,"ARNEY2,CROSB2,EXBOX2,JETIN2",departure
KLGB,RW30,"BAUBB1,DSNEE4,KAYOH7,ROOBY3",arrival
KLGB,RW25L,"FRITR2,HAWWC3,TOPMM4,ZOOMM2",departure
KLGB,RW30,"FRITR2,HAWWC3,TOPMM4,ZOOMM2",departure
KLGB,RW12,"FRITR2,HAWWC3,TOPMM4,ZOOMM2",departure
KLGB,RW07L,"FRITR2,HAWWC3,TOPMM4,ZOOMM2",departure
KLGB,RW07R,"FRITR2,HAWWC3,TOPMM4,ZOOMM2",departure
KLGB,RW25R,"FRITR2,HAWWC3,TOPMM4,ZOOMM2",departure
KMHT,RW06,"POPPP1,ROZZE2",arrival
KMHT,RW17,"POPPP1,ROZZE2",arrival
KMHT,RW35,"POPPP1,ROZZE2",arrival
KMHT,RW06,PPORT3,departure
KMHT,RW17,PPORT3,departure
KMHT,RW24,PPORT3,departure
KMHT,RW35,PPORT3,departure
KOAK,RW12,"EMZOH3,PXN5,SHARR1,SKIZM2,WNDSR2",arrival
KOAK,RW30,"EMZOH3,PXN5,SHARR1",arrival
KOAK,RW28R,"EMZOH3,PXN5,SHARR1",arrival
KOAK,RW28L,"COAST9,NUEVO8,SALAD5,SKYL9",departure
KOAK,RW28R,"COAST9,NUEVO8,SALAD5,SKYL9",departure
KOAK,RW30,"COAST9,HUSSH2,NUEVO8,SLNT1,SKYL9",departure
KOAK,RW10L,"KATFH2,SKYL9",departure
KOAK,RW10R,"KATFH2,SKYL9",departure
KOAK,RW12,"KATFH2,SKYL9",departure
KONT,RW26L,"ZIGGY7,SCBBY2,JCKIE1,KARLB2",arrival
KONT,RW26R,"ZIGGY7,SCBBY2",arrival
KONT,RW08L,"ZIGGY7,SCBBY2,EAGLZ2,GLRNO2",arrival
KONT,RW26R,"POM9,RAJEE3,SNSHN3",departure
KONT,RW26L,"POM9,RAJEE3,SNSHN3",departure
KONT,RW08L,"RAJEE3,SNSHN3",departure
KONT,RW08R,"RAJEE3,SNSHN3",departure
KPBI,RW10L,"FRWAY5,WLACE3",arrival
KPBI,RW28R,"BUFIT2,LMORE2,MIXAE2,SLIDZ1,TBIRD2",departure
KPBI,RW14,"BUFIT2,LMORE2,MIXAE2,SLIDZ1,TBIRD2",departure
KPBI,RW32,"BUFIT2,LMORE2,MIXAE2,SLIDZ1,TBIRD2",departure
KPBI,RW10L,"BUFIT2,LMORE2,MIXAE2,SLIDZ1,TBIRD2",departure
KPDK,RW21L,BOKRT2,arrival
KPDK,RW03L,----,departure
KPIT,RW10R,"DEMME3,HAYNZ5",arrival
KPIT,RW10L,"DEMME3,HAYNZ5",arrival
KPIT,RW28L,"FEWGA4,JESEY3",arrival
KPIT,RW28R,"FEWGA4,JESEY3",arrival
KPIT,RW32,"FEWGA4,JESEY3",arrival
KPIT,RW10R,----,departure
KPIT,RW10L,----,departure
KPIT,RW28L,----,departure
KPIT,RW28R,----,departure
KPIT,RW32,----,departure
KPIT,RW10C,----,departure
KPIT,RW28C,----,departure
KPIT,RW14,----,departure
KSDF,RW35L,"CHERI3,DARBY6,MBELL3",arrival
KSDF,RW35R,"CHERI3,DARBY6,MBELL3",arrival
KSDF,RW17L,"DLAMP5,FRIZN4,MBELL3",arrival
KSDF,RW17R,"DLAMP5,FRIZN4,MBELL3",arrival
KSDF,RW17R,"APALO4,CRRGO3,STREP4,FEDRA4",departure
KSDF,RW17L,"APALO4,CRRGO3,STREP4,FEDRA4",departure
KSDF,RW35R,"APALO4,CRRGO3,STREP4,FEDRA4",departure
KSDF,RW35L,"APALO4,CRRGO3,STREP4,FEDRA4",departure
KSJC,RW12R,"BRINY2,BRIXX2,FRLON2,GOLDN7",arrival
KSJC,RW30L,"HYP5,ROBIE4",arrival
KSJC,RW12L,"ALMDN4,BMRNG4,SUNOL9",departure
KSJC,RW30R,"LOUPE4,SJC2,SUNOL9",departure
KSNA,RW20R,"OHSEA1,TILLT2",arrival
KSNA,RW20R,"FINZZ2,PLZZA1",departure
KSTL,RW12R,"AARCH2,KAYLA3,VLA9,RIVRS5",arrival
KSTL,RW12L,"AARCH2,KAYLA3,VLA9,RIVRS5",arrival
KSTL,RW11,"AARCH2,KAYLA3,VLA9,RIVRS5",arrival
KSTL,RW29,"AARCH2,BOOSH2,KAYLA3,KOOOP1",arrival
KSTL,RW30L,"AARCH2,BOOSH2,KAYLA3,KOOOP1",arrival
KSTL,RW30R,"AARCH2,BOOSH2,KAYLA3,KOOOP1",arrival
KSTL,RW12R,"BERYY5,BGOOD5,BRAKK5,CHUUC5,DRUSE5,EEMOS5,JAHNY5,JHART6,KSHEE5,NATCA5,ROTRY5,TEDDD5,WHRLI6",departure
KSTL,RW12L,"BERYY5,BGOOD5,BRAKK5,CHUUC5,DRUSE5,EEMOS5,JAHNY5,JHART6,KSHEE5,NATCA5,ROTRY5,TEDDD5,WHRLI6",departure
KSTL,RW11,"BERYY5,BGOOD5,BRAKK5,CHUUC5,DRUSE5,EEMOS5,JAHNY5,JHART6,KSHEE5,NATCA5,ROTRY5,TEDDD5,WHRLI6",departure
KSTL,RW29,"BERYY5,BGOOD5,BRAKK5,CHUUC5,DRUSE5,EEMOS5,JAHNY5,JHART6,KSHEE5,NATCA5,ROTRY5,TEDDD5,WHRLI6",departure
KSTL,RW30L,"BERYY5,BGOOD5,BRAKK5,CHUUC5,DRUSE5,EEMOS5,JAHNY5,JHART6,KSHEE5,NATCA5,ROTRY5,TEDDD5,WHRLI6",departure
KSTL,RW30R,"BERYY5,BGOOD5,BRAKK5,CHUUC5,DRUSE5,EEMOS5,JAHNY5,JHART6,KSHEE5,NATCA5,ROTRY5,TEDDD5,WHRLI6",departure
KTEB,RW19,"JAIKE3,MAZIE2,LVZ4",arrival
KTEB,RW24,RUUDY6,departure
KMDW,RW04R,"PANGG3,MOTIF6,FISSK4",arrival
KMDW,RW04R,----,departure
KMDW,RW31C,----,departure
KVGT,RW12L,"KADDY2,LUXOR2",arrival
KVGT,RW12R,RTTRN3,departure
KVGT,RW30R,NOTWN4,departure
PHNL,RW08L,"KAENA2,KLANI2",arrival
PHNL,RW04R,"MKK4,PALAY2",departure
PHNL,RW08R,"MKK4,PALAY2",departure
PHNL,RW08L,"MKK4,PALAY2",departure
KBOI,RW28R,"BEWTE3,KOURT3,OWYHE3,SADYL3",arrival
KBOI,RW28R,GOWEN4,departure
KBOI,RW28L,GOWEN4,departure
PANC,RW07L,"KROTO4,NEELL6,PTERS3,WITTI4",arrival
PANC,RW07R,"KROTO4,NEELL6,PTERS3,WITTI4",arrival
PANC,RW15,"KROTO4,NEELL6,PTERS3,WITTI4",arrival
PANC,RW25L,FFITZ4,departure
PANC,RW25R,FFITZ4,departure
PANC,RW33,"FFITZ4,NOEND4",departure
KEWR,RW04L,"DYLIN4,FLOSI3,PENNS2,PHLBO3,RUUTH1",arrival
KEWR,RW22R,"PHLBO3,FQM3",arrival
KEWR,RW04R,"DYLIN4,FLOSI3,PENNS2,PHLBO3,RUUTH1",arrival
KEWR,RW22L,"PHLBO3,FQM3",arrival
KEWR,RW11,"DYLIN4,FLOSI3,PENNS2,PHLBO3,RUUTH1",arrival
KEWR,RW22R,PORTT4,departure
KEWR,RW22L,PORTT4,departure
KFLL,RW28R,"DEKAL5,GISSH5,JINGL5",arrival
KFLL,RW28L,"DEKAL5,GISSH5,JINGL5",arrival
KFLL,RW10L,"DVALL3,FISEL7,FORTL7,WAVUN3",arrival
KFLL,RW10R,"DVALL3,FISEL7,FORTL7,WAVUN3",arrival
KGYY,RW30,"GSH7,LUCIT1,MOTIF6",arrival
KGYY,RW30,"ADELL4,BLOKR4,CARYN4,DARCY4,ELANR4",departure
KGYY,RW20,"ADELL4,BLOKR4,CARYN4,DARCY4,ELANR4",departure
KGYY,RW12,"ADELL4,BLOKR4,CARYN4,DARCY4,ELANR4",departure
KGYY,RW02,"ADELL4,BLOKR4,CARYN4,DARCY4,ELANR4",departure
KSWF,RW09,HUD3,arrival
KSWF,RW27,HUD3,arrival
KSWF,RW09,SWF8,departure
KSWF,RW27,SWF8,departure
KSWF,RW16,SWF8,departure
KSWF,RW24,SWF8,departure
KPVD,RW05,"JORDN2,WIPOR3",arrival
KPVD,RW23,"JORDN2,WIPOR3",arrival
KPVD,RW34,"JORDN2,WIPOR3",arrival
KPVD,RW05,----,departure
KPVD,RW23,----,departure
KDAL,RW13R,"CYOTE9,DALL4,HUBB9,KING4,KKITY4,KRUMM7,KUSSO5,LNDRE4,SWABR5,SWTSR3,TEX5,WORTH1,WYLIE9",departure
KDAL,RW31L,"BACH7,CURLO4,EMMTT4,ESNYE4,GARL6,HUBB9,JPOOL9,KRUMM7,LOVE4,RAMBL5,SNSET4,SWABR5,TEX5,WORTH1,WYLIE9",departure
KDAL,RW13L,"CYOTE9,DALL4,HUBB9,KING4,KKITY4,KRUMM7,KUSSO5,LNDRE4,SWABR5,SWTSR3,TEX5,WORTH1,WYLIE9",departure
KDAL,RW31R,"BACH7,CURLO4,EMMTT4,ESNYE4,GARL6,HUBB9,JPOOL9,KRUMM7,LOVE4,RAMBL5,SNSET4,SWABR5,TEX5,WORTH1,WYLIE9",departure
KDAL,RW13R,"CRIKT1,DRYYE2,HIBIL3,JFRYE3,NANDR3,REDDN4,YEAGR3",arrival
KDAL,RW31L,"BACHR4,CRIKT1,DRYYE2,JFRYE3,MNNDO4,REDDN4",arrival
KDAL,RW13L,"CRIKT1,DRYYE2,HIBIL3,JFRYE3,NANDR3,REDDN4,YEAGR3",arrival
KDAL,RW31R,"BACHR4,CRIKT1,DRYYE2,JFRYE3,MNNDO4,REDDN4",arrival
